id,,score.positive,score.negative,SA score
14528,barrons call aapl didnt exactly,0,0,-1
14543,starbucks crush mcdonalds year mcd sbux,0,1,1
14713,like question wish could like fb,0,1,1
14789,future electric vehicles gs lithium new,0,0,1
14817,fit up today up around 10 52 lows,0,0,1
14967,munster piper launches stage fund aapl,0,0,-1
14999,solar power already cheaper coal several countries tsla,0,0,1
15079,rt biggest question aapl according adamlashinsky company innovative jobs,2,1,-1
15168,bravo guys goldman gs,0,0,1
15219,heres adamlashinsky talk things apple cheddarlive aapl,0,0,-1
15504,rt adamfeuerstein gild finally found someone take charge oncology drugs,0,0,-1
15518,gild finally found someone take charge oncology drugs,0,0,1
15702,starbucks top mcdonald’s restaurant king analyst says sbux mcd,0,0,1
15819,tsla guidance short term production challenges started less week later,0,2,-1
15878,tesla shares down 4 percent extended trading company releases fourthquarter vehicle production deliveries tsla,0,0,-1
15947,tesla down 3 percent right release production deliveries figures tsla,0,0,-1
16009,netflix beat tv giants popular show 2016 according research company nflx,1,0,1
16093,much better start year 2016 well take good day gains led biotech em believe nice moves media dis nflx,3,0,1
16122,vz helped power djia up 119 points today stock one indexs largest gainers day,0,0,1
16147,im touch ive decided see half lives zuck,0,0,-1
16166,best trader world answer may shock read up fb twtr,1,0,1
16186,didnt really think would make number exactly come 4k cars sold cars great job,0,0,1
16247,djia today rallied despite sharp decline oil prices check complete postmarket analysis,1,1,1
16264,alcoa aa said expects charges share q416 ah set report us jan 09 2017 ausbiz,0,0,-1
16299,rt 2017 prime number spx avg gain last 5 prime years 16 pct wallstreet stocks markets,1,0,1
16317,2017 prime number spx avg gain last 5 prime years 16 pct wallstreet stocks markets,1,0,-1
16339,market gains slow pace 2017 spx,1,1,1
16365,tesla tsla down 23 ah tesla said vehicles 4q 2016 vehicles up 64 missed d,0,1,-1
16395,gild bio global head oncology development nvs since,0,0,1
16486,rt selerity breaking tesla motors tsla q4 vehicle deliveries 22200 vs guidance 25000,0,1,-1
16489,leaves nvs gild head up oncology,0,0,-1
16715,investors sell teslas delivery numbers tsla,0,1,1
16784,netflix watchers three things 2017 says barronsnext one trump nflx,0,0,-1
16914,spy trend trying turn higher key levels amp potential scenario,0,0,1
17082,up amazon offer respond voice via alexa,0,0,1
17130,amazon fire tv integrated multiple tv sets amzn,0,0,1
17442,rt 361capital lg cap alltime high jumps 15 stocks financials foods owning list xlf xlp,0,0,1
17633,rbcs top 10 internet surprises 2017 amzn baba ebay fb nflx goog twtr yelp,0,0,1
17852,u ever get quit let know short twtr stock,0,2,-1
18040,future gs research explains lithium new ces2017,0,0,1
18235,stocktwits daily rip daily email always great loved todays spy,1,0,1
18236,rt dis starting look interesting new 52 week high today spy disney trading stocks stock,1,0,1
18261,get paid fitbit fit,0,0,1
18314,taken failing deliver order sfly twtr,0,1,-1
18407,updated tesla misses sales goal 2016 tsla,0,1,-1
18413,amzns margins want last year fiscal full year net gaap margins 3,0,0,1
18506,rich sparks gold high ole hansen oil gld slv,0,0,1
18538,qqq arent leading hold wont working thru close above helps bulls,1,0,1
18559,spy put low first support point reference 2017 see clear stay above action,0,1,-1
18565,spx futures up 3 choppy start year use support trade 2017 close above opens door 2277,0,0,1
18576,good morning mostly green arrows around world europe big start spx futures up 3,1,0,1
19517,lowest number spx tech companies issuing negative eps guidance quarter since q3 2010,0,1,-1
19535,rt winners tend keep winning hard buy shares company like amzn already gained,4,0,1
19581,new stake intc ups commitment growing selfdriving sector,0,0,1
20004,alibaba sellers goods first time us,0,2,-1
20045,icymi trump effect push tech bring jobs back us aapl msft ibm,0,0,-1
20116,rt sometimes hard wrap head around amzn,0,0,-1
20126,tesla misses sales goal 2016 tsla,0,1,-1
20185,tsla tesla motors q4 deliveries 22200 vs streetaccount consensus covered,0,0,-1
20268,spx futs up 3 upper pennant expands new points trade levels,0,0,1
20342,aapl reported cut iphone production no reason doubt stock,0,2,-1
20345,alibaba team up offer online service ship space baba,0,0,1
20483,rt factset lowest number spx tech companies issuing negative eps guidance quarter since q3 2010,0,1,-1
20508,apple remains good play largely company one worlds great technology innovators,2,0,1
20527,dow might best show 2017 jkrinskymkm says ibm potential,1,0,1
20612,amzn well reducing inventory using 3rd party,0,0,1
20703,rt reformedbroker amzn 20 years public 36 must,0,0,1
20823,game combined giant game chicken would called 2017 stock market spx ndx,0,0,-1
21029,tesla future tsla,0,0,1
21108,rt cheddar live big board dow continues 20k cheddarlive golive djia,0,0,1
21149,gm workers worldwide aapl alone workers,0,0,1
21270,rt timothysykes 7 daily habits becoming millionaire repeat every day fb twtr,0,0,1
21272,fit long one swing trade 40 short looks good multiple,2,1,1
21336,tweets come twtr shareholder jack,0,1,-1
21430,live big board dow continues 20k cheddarlive golive djia,0,0,1
21467,tesla down 3 today missing guidance vehicle deliveries 2016 delivered vs goal tsla,0,0,-1
21484,5 stocks watch earnings season gains nflx nvda aa tsla etsy,1,0,1
21487,stocks start higher today seeing everything green nvidia gives keynote ces today buyers front up 3 going good nvda,1,0,1
21497,wednesday yesterdays futures trades make start year right jo sbux oil slw,0,0,1
21845,thanks 2017 focus good look chart commentary vtf saw us back red tsla,1,0,1
22067,rt rorol trumps pick sec brings mampa ipo management enforcement also close gs,0,1,-1
22177,adamsinger gerberkawasaki lol tsla up 4 today,0,0,1
22212,sampp 500 still room upper spx,0,0,1
22407,exxon mobil reached agreement tillersons exit many conflict interest concerns,0,2,-1
22432,best way start 2017 options insight w juleshyman play pypl paypal must watch,1,0,1
22563,big banks hot start 2017 jpm alltime high bac c ms rallying trump amp fed push banks higher,0,0,1
22708,athleisure war amazon sell line clothing amzn lulu nke uaa,0,1,1
22735,no like fb keep turning keep coming back want account,0,0,-1
22744,rt stocktwits could held biggest amzn since 1997 chart,0,0,-1
22753,ratings spx companies 49 buy 45 hold 6 sell,1,1,1
22917,3 reasons china stocks rise 40 2017 emergingmarket fxi baba ashr pek mchi barronsonline shuliren,1,0,1
22994,oppenheimer cooks up 2017 outlook 6 restaurant stocks bobe cmg sbux pnra jack,0,0,1
23007,seems like tesla investors worried saw last night faraday future,0,0,1
23078,granted 2017 begun worth noting dow 2016 hot start year nke already up 4,0,0,1
23165,dead cat bounces spx,0,0,-1
23184,rt linnaneciara airline stocks take breather strong fourthquarter gains says cowen dal luv,2,0,1
23212,goldman sachs sec activity big banks see report free 2014 gs,0,0,-1
23236,aapl cash return amp balance astounding,0,0,1
23251,goldman sachs per sec gs 23 sec matters rose almost 50 nothing see,0,0,1
23333,rt lamonicabuzz big banks hot start 2017 jpm alltime high bac c ms rallying trump amp fed push banks higher,0,0,1
23355,panasonic says battery manufacturing line tsla gigafactory start eventually model 3 ces2017,0,0,1
23378,amazon close launching workout clothing line amzn thestreet,0,0,1
23579,rt alex tsla style firm missed car deliveries expectations market share price change,1,1,1
23638,10 ceos need follow twitter aapl msft tsla twtr,0,0,1
24111,facebook plans stream celebfilled jerry lewisstyle telethon inauguration day v,0,0,1
24225,rt scottbudman ces2017 shows electric cars tesla says gigafactory today producing battery tsla,0,0,1
24309,ces2017 shows electric cars tesla says gigafactory today producing battery tsla,0,0,1
24324,ive cut half watching long nflx,1,1,1
24411,southwest airlines could fly high 2017 luv via investopedia,0,0,1
24527,google amazon apple fight control cars everything else shiraovide,0,0,1
24588,apple invests 1 billion massive tech fund promised add 50k us jobs aapl via,0,0,1
24613,gigafactory up tesla starts battery cell production tsla,0,0,1
24692,exxon strikes deal rex tillerson xom,0,0,1
24713,10 spx stocks highest percentage buy ratings,2,0,1
24847,jeff bezos amazon winning ces without even showing up via jbooton amzn,1,0,1
24904,iphones fitbit made aapl fit,0,0,1
25000,twitter viewers tesla come across charging problems cheddarlive tsla,0,1,-1
25085,great expectations stocks spx,0,0,1
25172,despite terrible wearables market fitbit garmin plan new devices tune cheddarlive golive fit grmn,1,0,-1
25280,via kiplinger — 10 stocks every aapl t pfe f gm,0,0,1
25422,netflix breaks base disney also buy nflx dis wba,1,1,1
25456,hey alexa tell jeffbezos amzn split stock 3 4 1 quarter amp could 1000 summer needs,0,0,1
25460,rt cnnmoneyinvest apple invests 1 billion massive tech fund promised add 50k us jobs aapl via,0,0,1
25633,strategy delivering bad news following up good news worked well tesla,1,1,1
25658,tell club members sbux us one favorites right,1,0,1
25689,happy new year little blue bird twtr up 3 today,1,0,1
25887,pulling back spx,0,0,-1
25900,tesla set up massive potential short squeeze 2017 gm tsla,0,1,1
25948,rt awesome outlook life imo best use twitter platform twtr,1,0,1
26012,pattern fire right see past examples amp fb twtr,0,0,1
26029,jimcramer rex tillersons 180 million retirement package exxon mobil xom,0,0,1
26150,southwest airlines could fly high 2017 luv ual dal via investopedia,0,0,1
26168,time short biggest winners nvda tmus via investopedia,1,1,-1
26169,amazon winning ces without even showing up amzn,1,0,1
26215,rt rorol xom deal tillersons exit not emilystewartm,0,1,-1
26369,amazon launching athleisure brand amzn,0,0,1
26383,rather buy ive started twtr jar deposit 100 think bottomed much cheaper,1,0,-1
26539,rt linnaneciara uncertainty bringing healthcare stock bears alxn agn,0,0,-1
26623,gs top bank global mampa 2016 w 2015 top 4 banks,0,0,1
26769,live amazon launching athleisure brand readdanwrite details amzn,0,0,1
26866,today’s stocks winners shak tsla,1,0,1
26979,apples investment massive tech fund may score points realdonaldtrump via,0,0,1
27005,rt timothysykes watch free guide use every day fb twtr,0,0,1
27032,new shield 200 still addition google assistant means rivals home well nvda,0,0,1
27067,interesting new device category nvidia tiny shield google assistant nvda,1,0,1
27102,new shield device first netflix amazon prime apps available 4k could boost,1,0,1
27131,sampp 500s forward pe ratio approaching 15 year highs near bubble spy voo,1,1,1
27193,way amzn video set up show members tells future show u click amp buy,1,0,1
27289,much threat higher rates pull demand forward 2016 gm f tsla,0,1,-1
27292,curious whether pricing buying books online amazon open first bookstore amzn,1,0,1
27333,time nvidia ceo drop knowledge helped nvda go up last year,0,1,1
27465,isnt moat data miles driven different world tsla 1 us maybe europe tm 1 in,0,0,1
27559,money invest id buy much nvda possible,1,0,1
27683,put thats great job impressed crowd approach nvda ces2017,1,0,1
27729,aapl options knowledge make huge winner,1,0,1
27796,amzn clever short put spreads outperform earnings,1,1,1
27970,nvidias brains behind autonomous driving nvda,0,0,1
28830,mcwm adamsinger still decent position tesla made millions clients tsla 13f 8x,0,0,1
28857,rt scottbudman nvidia audi say theyll develop selfdriving car powered ai 2020 ces2017 nvda,0,0,1
28876,nvidia audi say theyll develop selfdriving car powered ai 2020 ces2017 nvda,0,0,1
28882,get elon mind thats ok much better human adjust add 6 months tesla tsla,1,0,1
28943,getting good cant get netflix know getting dis nflx,1,0,1
29106,rt barronsnext heres trump administration changes could impact netflix nflx,0,0,-1
29370,ford becomes first bring amazon echo cars f amzn,0,0,1
29457,course going long long time tsla tesla bull,2,0,1
29464,nvidia keynote amazing many ways want future ces nvda ai vr gaming auto,0,0,1
29853,rt jbooton amazon winning ces without even showing up amzn,1,0,1
30162,iwm nice move yesterday pennant started higher above 137 holding good next ath,1,1,1
30189,spx futures 3 big 2 day rally holding keeps momentum strong below pivot resistance 2272 2277 ath,1,0,-1
30473,rt linnaneciara jeff bezos amazon winning ces without even showing up via jbooton amzn ht,1,0,1
30591,post run nat gas prices 30 amp opec cut lifting oil prices above previews cvx xom bp 4q earnings,0,1,1
31275,nvda making easy broadcast video games direct facebook live shares up 270 pre,1,0,1
31432,apple pulls new york times apps china government request aapl,0,0,-1
31528,jim cramer viewers energy equity chesapeake chk mmp,0,0,1
31617,rt mktsinsider surging 4 yesterday tesla looks start day down tsla,0,0,-1
31626,peek markets us stock futures edge lower ahead jobs data spy uso kss,0,1,-1
31702,retail kss cut estimates vs amzn fulfillment centers within 50 miles 44 us population,0,1,1
31718,tech giants seem worries new york times amzn aapl fb msft googl,0,1,-1
31789,watch 10 huge call purchases thursday trade atvi crm ttwo tlrd db gluu pypl hrl thc,0,0,1
31813,watch 5 huge put purchases thursday trade htz rad shld,0,0,1
31842,agn forecasts nongaap net revenue growth 2017 that’s line current 57 consensus per factset,0,0,1
31890,intel weight watchers cnbcfastmoney picks january 5 intc wtw,0,0,1
32044,aapl app store breaks records halftimereport,0,1,1
32081,much end fed hold us stocks trump hint faster caps start 2017 rally dj spx,0,0,1
32217,rt qtrresearch move gild real technical breakout could see stock move 80 short order,0,1,1
32219,ibm trust predicts vision way ibm,0,0,1
32232,rt qtrresearch reverse head shoulders triple bottom whatever want call gild may finally bottomed,0,0,-1
32319,rt davidgzeiler apple investors ignore iphone production cut stories stocks aapl,0,2,-1
32486,early movers kss alxn googl wba myl amp,0,0,1
32536,thing worse twitter management theyve lost live facebook no one periscope anymore facebook live amazing fb twtr,0,2,-1
32743,watching nvidia ces keynote transformative thing ive seen dec,0,1,1
32837,veteran tech investor predicts google first company market cap agree googl,0,0,1
32851,health care technology sectors projected see largest price increases spx next 12 months,0,0,1
32974,stocks watch today kss shld nvda,0,0,1
32986,iwm follow up see holds keep momentum tight constructive higher levels,1,0,1
33004,wedbushs discusses teslamotors tsla 4th quarter deliveries scottgamm thestreet,0,0,1
33054,store ever see anyone aapl store restaurant,0,0,1
33420,2017 return fang fb amzn nflx googl hot starts year nflx best bunch far up 6 new 52week high,1,0,1
33443,lawsuit seeks ban google us government googl,0,0,-1
33464,isnt twitter taking advantage trump tweet twtr,1,0,-1
33506,today iwm shouldnt broken 137 spy going make easy bulls,1,1,1
33546,told four year old might never need drive car showed nvidia video loved wow dad talk nvda,1,0,1
33573,heres elonmusk calls biggest risk bringing model 3 market time tsla,0,1,-1
33638,gs breaking also small active bulls,0,1,1
33654,banks fading hard meanwhile gdx gld jnug jnug buyers gettin paid,0,0,-1
33922,rt mktsinsider elon musk donald trump suddenly really seemed sneak up people tsla,0,0,-1
33941,look gld broken sector reclaimed around 110 always helps u adjust actively,0,1,1
33984,state retail xrt retail etf down 2 today brick mortar news kss amzn up 2,0,0,-1
33999,elon musk donald trump suddenly really seemed sneak up people tsla,0,0,1
34116,preview networks q3 results amzn goog,0,0,1
34145,stock movers aapl appstore record kss drop cmg upgrade amzn cost myl mon,0,1,1
34185,amid pressure amazon google ups shopping game googl amzn,0,0,1
34221,walmart another ecommerce company hopes crushing amazon wmt amzn,0,0,1
34237,given nflx traditional earnings volatility price action jan trade,0,1,-1
34271,banks kbe retail xrt stocks dow wmt gs jpm,0,0,-1
34341,btw im still amzn acts well u use stop also calls tuesday earnings,0,0,1
34387,billionaire warren buffett says caps spending mcdonald’s stock down days spx djia brka brkb,0,0,-1
34453,forbes article top tech trends 2017 dropped ces tsla fb nvda cheddar,0,1,-1
34459,depends active u example gs upper support level stop see stays below real support 235,0,0,1
34497,stocks watch today kss shld sells brand nvda jumps,0,2,1
34534,another company received two awards guess cheddarlive spx,0,0,1
34971,amazons patent payments amzn,0,0,-1
35089,apple pulls nytimes app china government request aapl,0,0,-1
35175,rt ibdelow going live ces2017 minutes nvidia nvda ces head,0,0,1
35249,rt ces2017 nvidia keynote 2 start watch nvda livestream segment hits,0,0,1
35340,10 spx stocks projected see largest price drops next 12 months,0,0,-1
35348,nvidia ces2017 3 big leave investors 5 major questions nvda amd fb goog,0,1,-1
35361,master swing trader still goldman sachs gs recommended reading list 16 years,1,0,1
35467,looking invest cloud 7 stocks 2017 adbe crm msft twlo,0,0,1
35484,chipotle ripe january effect rally cmg mcd via investopedia,0,0,1
35544,everybody trying online going,0,0,-1
35627,would happen costco raised membership fee year cost,0,0,-1
35733,fitbit ceo james park tells jonfortt unh qcom partnership big deal fit shares could use 10000,0,0,1
35759,rt foxbusiness apple pulls nytimes app china government request aapl,0,0,-1
35848,teslamotors stock soared december tsla,0,0,1
35927,fitbit ceo joins us next fit,0,0,1
36013,nflx alltime high,0,0,1
36110,rt canuck2usa twtr hate say looks like may long trade see not feel,1,0,-1
36227,apple app store generated 3b sales last month buoyed super run go,0,0,1
36316,going put alexa cars starting later year ai f amzn,0,0,1
36342,look potential impact us policy changes vs hype lanceroberts spy dia qqq,0,0,-1
36688,great wsjheard podcast stocks tesla fnma fmcc tsla,0,0,1
36703,canuck2usa baba breaks above pivot points stock above see chart gt vi,0,1,1
36715,rt canuck2usa baba inside up weekly move back daily 1st sign anything positive,1,0,1
36822,trump bump may overdone tesla latest wsjheard podcast fnma fmcc tsla,0,0,-1
36904,rt mktsinsider amazon talks buy american apparel amzn,1,1,1
36937,big show sullycnbc chesapeake energy ceo big ceo goldmans favorite oil amp gas stock pick chk,1,0,1
37117,stocks watch today macys inc inc amzn kohls corp kss investing,0,0,1
37432,alibaba customers reserve baba,0,0,1
37454,rt powerlunch chesapeake ceo sullycnbc making money dollar invested ever chk,0,0,1
37524,amazon open first nyc bookstore spring amzn simonettilauren,0,0,1
37557,shares first uvxy experience 2017,0,0,1
37663,industry cray cray lvs mgm,0,0,-1
37668,yikes looks like twtr spiked tweet meta alert suggesting company considering ceo jack dorsey ouch,0,0,-1
37677,rt twtr climbs back up ios top 20 us last time up election,0,0,1
37813,audi nvda work together get ai powered cars road 2020,0,0,1
37902,rt seeitmarket new blog global earnings cycle weak theres silver lining callumthomas spy ht,0,1,1
38099,rt stocks lower today amid upgrades bac zion luv wdc,0,1,-1
38157,credit suisse beware 25 stocks everyone already owns via newsmax aapl msft fb googl,0,0,-1
38370,aapl confirms 1b investment softbank vision fund,0,0,1
38378,curious think dorsey running twtr amp sq opposed one to,0,2,-1
38394,auto loans portfolio f gm tsla,0,0,1
38434,claims gold amp oil trending thurs discussed tsla vlkay f jcp bks wba mon cbs investools,0,1,1
38438,teslamotors gigafactory sparks warning goldmansachs morganstanley tesla cars tsla,0,1,-1
38582,congratulations gs named management committee cc wsj,0,0,1
38616,nflx acts well sold today long holds 130 looks good,2,0,1
38638,amzn big day1 yesterday not sure stealing tomorrow im staying stock options,0,0,1
38641,pharma analyst isnt surprised latest guidance agn read,0,0,-1
38656,tsla held yesterdays range still looks good im still long,2,0,1
38706,answers everything revealed 42 minutes amzn fed everything,0,0,1
38816,warren buffetts big bet airlines bought dal ual aal amp luv paying via,0,0,1
38885,rt southwest dropping luv,0,1,1
38969,esg capital suit facebook shares new york post fb,0,0,-1
39019,todays nike congrats got cheddarlive nke,0,0,1
39056,amazon forever 21 running buy american apparel tonythestreet weighs fillorkill,1,0,1
39086,shopify shares pop old deal amazon reported new amzn shop,0,1,-1
39094,comes bank stocks follow treasury yields hint 10year down jpm c,0,0,1
39108,amazon alexa wants control home amzn ces2017,0,0,-1
39125,nash gilead 100m milestone chip gamble new nash drugs gild agn jnj,0,0,1
39174,qqq set close above holding another night,0,0,1
39516,ibm pick top 5 hottest technologies,0,0,1
39586,companys stock popped 220 year taking amazon amazon comes nvda,0,0,1
39690,execs giving ces2017 keynote could create volatility shareholders ccl cmcsa expe nvda jnj foxa,0,1,-1
39803,gs always comes top,0,0,1
39924,crazy true fact amzn worth 350 billion kss shld amp jcp combined wow,0,0,1
39962,emc emmbf halted mean one two things im betting major positive development squeeze,1,1,1
39966,top stock picks 2017 agn wba shpg hes mgm,0,0,1
40076,netflix up since 2002 ipo 🚀 closed thats alltime closing high,0,2,1
40171,rt regn halted news pending,0,1,-1
40196,apples app store generated billion developers 2016 tech aapl,0,0,1
40377,rt lamonicabuzz yikes looks like twtr spiked tweet meta alert suggesting company considering ceo,0,0,-1
40442,jefferies picks 2017s least likely biotech mampa targets gild icpt tsro ions incy,0,0,1
40558,hours gap up amgen blocks rival shake gps amgn sny regn,0,0,1
40662,spy continues constructive vwap inv etc,1,0,1
