@RELATION trialquotes_newdata

@ATTRIBUTE index_number REAL
@ATTRIBUTE tweet STRING
@ATTRIBUTE sentiment {-1.0,1.0}

@DATA
60,"eli lilly , merck add new combo alliance ; gilead really does want to focus on m & amp ; a $lly $mrk $gild",1.0
61,"credit suisse notes yelp 's salesforce growth into first-half results $yelp",1.0
62,"nope , but a good day for $xom",1.0
63,"are $baba shares up now ? #trumppressconference",1.0
64,"mcdonald s unveils the mother of all localisation : the masala dosa burger $mcd",1.0
65,"rt @bespokeinvest : netflix $nflx tops the list of winners over the last <num> years with a gain of <num>,<num> % . $amzn ranks <num>th at <num>,<num> % :",1.0
66,"american airline shares were up <num>.<num> % on news it could become the first airline to report positive unit revenue :",1.0
67,"@stormwolf<num> thank you for the vote of confidence . its always open for you to buy more $vrx .",1.0
68,"wonder how bill feels about trump now ? $vrx",1.0
69,"i 'll see how $amzn reacts around $<num>- $<num> to buy back . $tsla closer to $<num>- $<num> to do the same",1.0
70,"trimmed most longs and vtf saw me get flattish as $spy took out $<num> . also well before that",1.0
71,"some stocks to watch to get you through hump day : $mrk $amzn $sig $adm $f",1.0
72,"$spy reclaimed $<num> with a new point of reference at $<num>.<num> . this upper range expanded a bit and got a `` wider '' .",1.0
73,"true , last time big was ey , audited his bankrupt casino unsuccessfully . but many of his $gs appointees comfortable",1.0
74,". @tcharnota sears was the first amazon . did n't build a store until <num>. biggest merchant in america thru catalogs",1.0
75,"mcdonald 's is bringing local fare to its breakfast menu in mumbai : $mcd",1.0
76,"$aapl how apple services could change everything my take via @yahoofinance @cnnmoney",1.0
77,"rt @melissaleecnbc : another airline with better unit rev numbers : $aal joins $ual with gains premarket",1.0
78,"jack ma 's promised <num> million u.s. jobs would represent 'almost <num> % of all jobs in the u.s . '",1.0
79,"nutanix named an underappreciated top <num> pick at oppenheimer $csco $hpe $ntnx",1.0
80,"i talked to @digiday about our growth over past year and my two cents about relations between media + $fb .",1.0
81,"rt @maxpyziur : . @senschumer rips #tillerson running . @statedept becuz ambiguity on $xom #russia #sanctions sez @politico|s @eschor",1.0
82,"$nvda $amd the demand for ai is helping nvidia and amd leapfrog intel via @verge",1.0
83,"great morning with our new $agn colleagues @biotechfischer & amp ; team working hard to bring new treatments to patients .",1.0
84,"$csx earnings could send transports into high gear via @investopedia",1.0
85,"facebook tests mid-roll video ads $fb",1.0
86,"so far holding like a champ $spy",1.0
87,"bought #trumpdumps $celg <num>.<num> ( bought back ) and $lmt <num>.<num> .",1.0
88,"what we know about 'the facebook journalism project ' $fb",1.0
89,"rt @evanmedeiros : new post : bulls continue to defend nearby support levels $spy $iwm $qqq #stocks #trading",1.0
90,"netflix added to stock buy lists ahead of <alphanum> earnings report : $nflx $fb $amzn",1.0
91,"analyst : amazon echo is a very big deal $amzn",1.0
92,"shares of valeant were slightly higher on wednesday . @valerieayoung weighs in on #fillorkill : .",1.0
93,"good news for economy ? the other $djt -- the dow jones transports -- continues its post-election pop . $csx $alk $luv at all-time highs too .",1.0
94,". @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb .",1.0
95,"rt @mcwm : apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",1.0
96,"earnings preview : citigroup <alphanum> <num> $c",1.0
97,"big ol $aapl player hittin here",1.0
98,"apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",1.0
99,"what to expect when you 're expecting big banks ' earnings $bac $cof $gs $jpm $ms $wfc",1.0
100,"earnings preview : morgan stanley <alphanum> <num> $ms",1.0
101,"another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out",1.0
102,"$aapl and fang getting a bid here this afternoon . $fb market cap today more valuable than $xom .",1.0
103,"@shawsstandard yup , $aapl moving to a new <num>-year high .",1.0
104,"rt @katekelly : another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out",1.0
105,"ios will have generated over $<num> trillion in revenues for @apple sometime this year ( incl services ) - @asymco .",1.0
106,"$googl nice bull flag type pattern as well . after a nice move last week - in time it could take it out $<num>ish",1.0
107,"$amzn nice looking bull flag . rested a few days . not sure how long it takes to take out $<num>.<num> . on the radar",1.0
108,"clsa analyst sees bank stocks gaining <num> % over next <num> years $bac $c $gs $wfc $ms $jpm",1.0
109,"my favorite part is where @paulvigna and i discuss the merits of buying supercomputers to trade bank stocks high f .",1.0
110,"the hype is real . ai & amp ; unsupervised learning for analytics , will drive $nvda and $amd up . full-disc . : shareholder",1.0
111,"rt @kchaykowski : . @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb htt .",1.0
112,"improvement or gimmick ? starbucks rolls out video drive-thrus across canada $sbux",1.0
113,"based off the success of its original content , netflix plans to ramp up production to more than <num>,<num> hours : .",1.0
114,"freeport-mcmoran , martin marietta and steel 's strength in the trump rally $fcx $mlm $nue $xlb",1.0
115,". @bre_payton says domestic firms should feel confident given the $djia 's performance , trump 's promises to keep jobs .",1.0
116,"amazon 's next move to dominate retail ? offering a credit card with <num> % back $amzn",1.0
117,"blackberry is quietly trying to make a comeback but not with phones $bbry",1.0
118,"$gild told analysts at mtg today they might separate out hcv and/or hiv product guidance for <num> on upcoming earnings call .",1.0
119,"rt @aaronlucchetti : amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1.0
120,"huge year for #tesla . if they can deliver . it will be huge . #model<num> $tsla",1.0
121,"wedbush s @gilluria commented on alibaba s goal to create <num> million us #jobs $baba via @thestreet",1.0
122,"just in : facebook launches `` journalism project '' to work with big media ( @washingtonpost , @buzzfeed , etc ) to fight fake news . $fb",1.0
123,"will fintech perish or prosper under president trump ? $aapl $amzn $fb #fintechforgood",1.0
124,"rt @<num>capital : lg cap all-time high list at <num> stocks with industrials , financials & amp ; healthcare leading . $xlv $xlf $xli",1.0
125,"apple is reportedly planning a major push into original tv shows and movies $aapl",1.0
126,"apple 's ios revenues should exceed $<num> trillion in <num> $aapl",1.0
127,"$spy put a low in at $<num>.<num> . holding that keeps upper range constructive . a close below shakes it up . resistance $<num>.<num> then $<num>.<num>",1.0
128,"volume : stocks up , on up volume , down volatility = bullish trend intact @hedgeye $spy",1.0
129,"is this stock the next $amzn ? #sponsored",1.0
130,"casino stocks outperform in <num> as vegas gaming sales flat $lvs $mgm $wynn $mpel",1.0
131,"storage provider $stx 's adaptability leading to increased profits",1.0
132,"more & lt ; <num> for $fb cantor 's top <num> picks facebook ( $<num> pt ) , alphabet ( $googl , $<num>,<num> pt ) , amazon ( $amzn , $<num>,<num> pt ) expedia ( $expe , $<num> pt )",1.0
133,"$gld right up at my sell target this morning . in the continuation gap .",1.0
134,"watch these <num> huge put purchases in thursday trade $bby $gnc $himx $qep $rig $seas $tsm $luv",1.0
135,"chasing momentum #stocks $spx",1.0
136,"<num>.<num> - <num>.<num> getting a ton of action last week or so $spy , gon na be a major point for those guys that profile",1.0
137,"$amzn follow up . quick traders were able to grab more at $<num>.<num> and sell some strength near $<num> . now use $<num>.<num> .",1.0
138,"rt @endpts : as trump fingers pharma on drug prices , execs step up with the latest vows of self discipline $jnj $alks $agn",1.0
139,". @amazon says it will create <num>,<num> full-time jobs in the u.s. over the next <num> months",1.0
140,"how wal-mart contract will boost workday revenue $wday $wmt $bac $fdx $hpq $ibm",1.0
141,"apple in talks to bulk up apple music with original video : $aapl $nflx $twx",1.0
142,"you guys win , this <num>-<num> % off blowout sale will last through the weekend , final chances to save big $fb $twtr",1.0
143,"with <num>,<num> new full-time jobs on the way , @jimcramer says amazon is a jobs machine : $amzn",1.0
144,"$gs is proud to host @jcp_org executive committee live meetings in london . learn more about #gsengineering",1.0
145,"google has shuttered its drone project to beam internet to rural areas : $googl",1.0
146,"rt @foxbusiness : amazon sees rapid job growth , plans <num>k new u.s. jobs $amzn",1.0
147,"rt @powerlunch : <num>:<num> @jboorstin on @apple $aapl plans to create original content and what it means for the competitive landscape",1.0
148,"gilead s hepatitis b drug vemlidy approved in eu - $gild",1.0
149,"in light of taco bell 's chicken shell , here are <num> of the most successful fast-food campaigns $bkw $mcd $wen $yum",1.0
150,"rt @optuma : $spx companies with longest <num> day #rrg tails ( momentum ) with increasing velocity . simple to filter with #optuma $fcx $kss $nem .",1.0
151,"jack ma wants groupon ? $grpn up <num> % on $baba m & amp ; a rumor . but be careful here . this chatter has been around for almost a year . has n't happened .",1.0
152,"$tsla held well now green . $<num>/ <num>day moving average has been big support",1.0
153,"ibm breaks record in u.s. patents with cloud , ai and health bets : $ibm",1.0
154,"financial spdr $xlf up almost <num> % since election . bank earnings kick off , any room for error after such a big run ? tune in <num>:<num>p et !",1.0
155,"salesforce 's new hire , monica langley , might help company land its next major acquisition $crm",1.0
156,"thanks . this was a good $amzn strategy to add above $<num>.<num> trim some and hold some . i 'm still long and those calls .",1.0
157,"if you bought $spy with up around $<num>.<num> trim some here $<num>.<num> and hold some . i 'm still in",1.0
158,"$fb -- what an impressive move <num>. i missed it .",1.0
159,"broader market down but two big techs are continuing their hot start to <num> . $amzn up <num>.<num> % today & amp ; <num> % ytd . $fb up a bit today , <num> % ytd .",1.0
160,"big bank results ahead with reports from bank of america , jp morgan , and wells fargo $bac $c $gs $jpm $wfc $ms",1.0
161,"$bac this remarkable edge to an options trade -- with a twist -- has out performed the $spx by <num> % .",1.0
162,"us stock indices in the red with around <num> mins to the close on wall st : #djia -<num>.<num> % with goldman sachs dragging heavily on the index $gs .",1.0
163,"live : apple sets its sights on hollywood with plans for original content - will it be a success ? .",1.0
164,"say hello to the credit card with a whopping <num> % cash back on all @amazon purchases : $amzn",1.0
165,"twitter is announcing earnings and doing call before markets open again this quarter ? hmmmm ... $twtr",1.0
166,"$ibm slow but steady in <num> via @investopedia",1.0
167,"facebook enhances dynamic ads with interest-based targeting $fb",1.0
168,"with the release of its credit card , amazon is poised to transform yet another way consumers shop : .",1.0
169,"@waltergmurphy thanks walter , i always value your opinion . steep ascent on $djia puts recent lows in focus .",1.0
170,"big day for bank earnings tomorrow $bac , $wfc $jpm all report before the bell . what should you be watching ? coming up on @cnbcclosingbell",1.0
171,"getting the <num> party started $uvxy #options",1.0
172,"these were the <num> most traded stocks and etfs of <num> <num> . $bac <num> . $spy <num> . $gdx <num> . $eem <num> . $vxx",1.0
173,"$spy $spx trading options in the market etf for a profit",1.0
174,"$bac using a mega bank as a winning option play",1.0
175,"rt @cnbcfastmoney : ' @richartross says to buy banks into earnings $xlf $bac $jpm $wfc",1.0
176,"apple finally figured out how to satisfy its media dream : do n't buy hbo , become it",1.0
177,"' @richartross says to buy banks into earnings $xlf $bac $jpm $wfc",1.0
178,"@davidmoble it is an exception . they have factories filled with robots . and it 's one of the best companies in the world . $tsla",1.0
179,"#amazon plans to create <num>k new full-time #jobs in the us over the next <num> months ; ... via @launchticker $amzn",1.0
180,"#gold rises above $<num>,<num> ; will it stay there ? $gld $iau $gdx $nugt $dust",1.0
181,"`` digital media - sans $goog & amp ; $fb - have joined newspapers as a business in structural decline '' @profgalloway",1.0
182,"netflix is on a quest for world domination via @bw $nflx",1.0
183,"#gold rush : trump , #china puts the bull into bullion $gld $fxi $mchi $ashr #goldprice",1.0
184,"$spy gave us a new pivot at $<num>.<num> and reclaimed $<num>.<num> and closed well . pivot resistance is $<num>.<num> then $<num>.<num> ath $<num>.<num>",1.0
185,"good morning . mostly green arrows around the world . in europe dax+.<num> % cac+.<num> % in asia the nikkei+.<num> % hk+.<num> % . $spx futures +<num>",1.0
186,"ready for $bac to kick off #wallstreet #earnings . net income primed for a rise . but if the firm does n't achieve , it could be bananas",1.0
187,"$ebay to combat #counterfeiting with professional authenticators that inspect high-end goods #ip",1.0
188,"the nasdaq is +<num>.<num> % higher than where it was <num>yr ago today $qqq",1.0
189,"bank of america tops <num>q profit forecasts $bac",1.0
190,"this morning 's winner for $bac is bestguess who beats <num> other analysts and the wall street consensus -",1.0
191,"$bac reports inline with the estimize eps consensus and misses the estimize revenue consensus by $<num>.<num>m -",1.0
192,"$bac reports <alphanum> earnings of <num>c eps and $<num>.<num>b revs -",1.0
193,"amazing changes in how people bank at bank of america . digital +<num> % vs. `` old tech '' -<num> % $bac @disruptorsbnn",1.0
194,"amazon is going on a hiring spree $amzn",1.0
195,"rt @igtv : $bac lower after announcing plans to boost stock buyback in <num>h by $<num>.<num>b and beating <num>q eps estimates .",1.0
196,"keep an eye on these <num> stocks for january <num> , <num> $bac $blk $frc $jpm $p $wfc $pnc",1.0
197,"rt @deoneroberts : bank of america s <num>q profit jumps <num> percent $bac #charobs",1.0
198,"rt @sarawalker_ig : $bac lower after announcing plans to boost stock buyback in <num>h by $<num>.<num>b and beating <num>q eps estimates .",1.0
199,"bank of america beats profit expectations , but revenue growth misses on less robust trading than anticipated . $bac",1.0
200,"bank of america s <num>q profit jumps <num> percent $bac #charobs",1.0
201,"earnings alert : bank of america eps beats $<num>.<num> vs. $<num>.<num> ( est . ) revs . miss $<num>.<num>b vs. $<num>.<num>b ( est . ) $bac",1.0
202,"bank of america <alphanum> eps $<num>.<num> vs $<num>.<num> est , revenue $<num>.<num>b vs $<num>.<num>b est $bac",1.0
203,"#breaking : bank of america $bac <alphanum> earnings per share ( eps ) is $<num>.<num> vs. $<num>.<num> expected .",1.0
204,"great price action as well $amzn",1.0
205,"$bac does n't mention trump in earnings release . but alludes to fed . says well-positioned to grow with `` backdrop of rising interest rates . ''",1.0
206,"big achievement for panera bread here $pnra $sbux $cmg $mcd $qsr $$",1.0
207,"peek into the markets : stock futures up ahead of jpmorgan , wells fargo earnings $bac $blk $jpm $pnc $p $nflx",1.0
208,"it 's earnings season again , here we go : $jpm and $wfc up next bank of america profit up <num> % as trading jumps $bac .",1.0
209,"$bac has moved <num>-cents since reporting /newnormal",1.0
210,"bank of america beats on the bottom line , misses on the top $bac",1.0
211,"rt @reddogt<num> : good morning . mostly green arrows around the world . in europe dax+.<num> % cac+.<num> % in asia the nikkei+.<num> % hk+.<num> % . $spx futures .",1.0
212,"rt @reddogt<num> : $spy gave us a new pivot at $<num>.<num> and reclaimed $<num>.<num> and closed well . pivot resistance is $<num>.<num> then $<num>.<num> ath $<num>..",1.0
213,"rt @reddogt<num> : great price action as well $amzn",1.0
214,"how important is the #banks earnings guidance for <num> ? @garybsmith $bac $jpm $wfc #earningsreport",1.0
215,"netflix rises in premarket on upgrade and share-price raised target : $nflx",1.0
216,"diverging views on net interest $jpm : <alphanum> net interest income to be `` up modestly qoq '' $bac : `` significant increase '' in net interest income",1.0
217,"raymond james upgrades facebook , ad revenue should be strong this year $fb",1.0
218,"bank of america profit rises <num> % on trading gains , cost cuts $bac via @business",1.0
219,"#amazon to add <num>k new u.s. jobs in the next <num> months $amzn #jobs @amazon @leafoxnews",1.0
220,"<num> cheap stocks that top investment newsletters say to buy now $spx",1.0
221,"retail sales rise <num>.<num> % as amazon , autos lead $amzn $gm $m",1.0
222,"tractor supply upgraded to outperform , wedbush sees good risk-reward $tsco",1.0
223,"earnings season takes it to the bank , and facebook gets a `` like '' - today 's stocks to watch : $bac $jpm $wfc $fb",1.0
224,"bank of america kicks off bank #earnings with a profit beat $bac",1.0
225,"live : bank earnings in focus $bac $jpm $wfc - can financial stocks keep the market rally alive ? .",1.0
226,"earnings season is underway ! jpmorgan , wells fargo and bank of america kick things off $bac $jpm $pnc $wfc",1.0
227,"bottom line on banks core businesses strong $bac mortgage lending +<num>x $jpm deposit growth +double digits credit card balances at record",1.0
228,"they are making so many good shows . been watching #fauda and it 's great . netflix making hits for each language . we ' .",1.0
229,"#yahoo , acquired or not , continues its open-source push #hadoop $yhoo",1.0
230,"#stocks moderately higher in early trading on wall st after strong earnings from $jpm , $bac , but disappointing results from $wfc . #spx +<num>.<num> %",1.0
231,"happy friday the <num>th ! #stocks start higher as earnings season kicks off on a good note . banks higher & amp ; tech led by facebook . $fb $kre $xlf",1.0
232,"$gs broke above $<num> and holding to lead",1.0
233,"a netflix earnings preview : <alphanum> guidance will be in focus $nflx",1.0
234,"wcu : most commodities gain as trump 's star fades #saxostrats by ole hansen $oil $gld $slv",1.0
235,"stc $bac jan <num> exp <num> puts at <num>c",1.0
236,"the tax mess that #trump is working on for trade might be hugely beneficial for tesla . $tsla made in america #cars",1.0
237,"chargers ' l.a. move sees an unexpected winner $ebay #chargerstola",1.0
238,"fourth quarter #earningsseason kicks off with financials which have led the market 's recent gains $jpm $bac $wfc $pnc $fhn $frc $blk",1.0
239,"with science and info , $ilmn , $nvta , $vcyt , $fm will take the guesswork out of #healthcare , like $goog , $fb , and $twtr did for advertising .",1.0
240,"in tech we like $nvda $nflx $tsla $goog $fb $ea $atvi these are higher pe names but it 's because they are the best #stocks in tech .",1.0
241,"<num> biggest price target changes for friday $gevo $grub $nflx $rop $snak $pcar $tsco $pnr",1.0
242,"apple is the least exciting tech company we have investments in . we own it mostly as a value stock and we have big gains . $aapl hold .",1.0
243,"@loomdart apple is disappointing , to think the new #iphone<num>thanniversary will be much better than the amazing #iphone<num>plus is silly $aapl",1.0
244,"who 's adding the most to the gains in nasdaq today ? facebook $fb & amp ; it 's <num>.<num> % gain in early trading",1.0
245,"rt @amberkanwar : amazing changes in how people bank at bank of america . digital +<num> % vs. `` old tech '' -<num> % $bac @disruptorsbnn",1.0
246,"rt @ophirgottlieb : $aapl covered calls with a twist turn a profit .",1.0
247,"fedex moves into walgreens stores $fdx $wba",1.0
248,"fedex moves into walgreens stores $fdx $wba by @biintelligence",1.0
249,"as seen on fb : home shopping network learns to leverage social media $fb $hsni $twtr",1.0
250,"that just won you reader comment of the week ! now dance , monkey boy , dance ! $msft cc : @laclippers @steven_ballmer",1.0
251,"netflix to remain a growth story through <num> $nflx",1.0
252,"<num>-year forecasts #stocks $spx",1.0
253,"what the equity expansion of nyse floor could mean for traders $aapl $msft",1.0
254,"$googl is up <num> % so far this year . and that makes it the laggard of the fang of four . $fb up <num> % . $amzn up <num>.<num> % . $nflx up <num> % .",1.0
255,"netflix streams back into buy zone on an upgrade & amp ; price target hike . $nflx $mbly $dal",1.0
256,"$aapl the radical importance of apple services",1.0
257,"what questions should you ask at the end of an interview ? taylor , head of imd recruiting at $gs , shares her advice : .",1.0
258,"netflix retakes buy point ; analysts like comcast , delta , mobileye : $nflx $cmcsa $mbly $dal",1.0
259,"rt @mclamagna : if you needed one more way ( or reason ) to buy stuff on amazon , here it is : $amzn",1.0
260,"if you needed one more way ( or reason ) to buy stuff on amazon , here it is : $amzn",1.0
261,"good one . that 's better than $amzn and $googl over same period . but not $fb and $nflx .",1.0
262,"$amzn worth just $<num> billion more than $fb according to google finance . notable race for fourth .",1.0
263,"obvious conclusion here is that `` fake news '' is good for the $spy : ) $goog trends `` fake news '' <num> days vs spy",1.0
264,"patience about to pay off for buffett on his ibm investment $ibm",1.0
265,"tech today : pandora zooms , grubhub up , apple s debt leverage $p $fb $grub $ibm $aapl $nflx $splk .",1.0
266,"$bac if you understand this -- then you win trading options .",1.0
267,"rt @barronsnext : amazon 's big jobs announcement seems `` yugely '' political . $amzn",1.0
268,"unbelievable dominance by $fb",1.0
269,"why @tonythestreet is watching netflix on #fillorkill : $nflx",1.0
270,"$nflx comin back into the mix , wiseguys rollin in , on the precipice of all time highs .",1.0
271,"apple has n't left innovation behind . could self-driving cars be in its future ? $aapl",1.0
272,"another record day for $comp and $ndx . big cap historic highs : $cmcsa $lrcx $csx $adp small - mid cap record highs .",1.0
273,"#netflix is spending more on domestic content this year than all the networks except abc , #sports excluded . $nflx",1.0
274,"here 's how veteran swing trader sees the stock market right now . sit back watch this video : $spy $qqq $xlf",1.0
275,"google claims the hottest programming language of <num> $googl",1.0
276,"apple 's stock has more than doubled since tim cook became ceo , but can he hold a candle to steve jobs ? .",1.0
277,"do n't bet against this guy . it 's rocket science . take off . land . orbit . release . great job @elonmusk #spacex $tsla",1.0
278,"with average upside surprises , earnings growth for $spx for <alphanum> could hit <num> % .",1.0
279,"`` barnes & amp ; noble crushes amazon in speedy delivery . '' great read from '<num> . what $amzn has done only seems easy/inev .",1.0
280,"facebook will test 'fake news ' filtering in germany - $fb",1.0
281,"rt @factset : with average upside surprises , earnings growth for $spx for <alphanum> could hit <num> % .",1.0
282,"$nflx how trading options on netflix earnings become a giant winner",1.0
283,"final final <num> hours to save <num>-<num> % off blowout sale at your absolute final chances to save big $fb $twtr",1.0
284,"cot : funds return to precious metals #saxostrats by ole hansen $oil $gld $slv",1.0
285,"join us tues am ! we are live from #davos<num> with a great show : ceos of $bac , $mar , $t , sap , $hon , $ebay , ey , $crm..",1.0
286,"together , could etsy and ebay take on amazon ? $amzn $etsy $ebay",1.0
287,"how top-yielding #dogsofthedow could buffer trumpian volatility #options $vz $csco $ibm via .",1.0
288,"the forward <num>-month p/e ratio for $spx is <num>.<num> , above the <num>-year average ( <num>.<num> ) .",1.0
289,"netflix easily outspends amazon prime and hulu . now , it 's rivaling the major networks . $nflx $amzn",1.0
290,"buying raw materials no brainer . iron copper etc good for war or construction . $fcx only thing left in family account .",1.0
291,"stocks on the wohl watchlist this week $axon $all $omn $boil $avp $aaoi $itub $ms $crc $swir $cma $c $unp",1.0
292,"$twtr cmo @leslieberland shows off vibrancy in her pitch : [ great story by @kerrymflynn , twtr lucky to have leslie ]",1.0
293,"final final final <num> hours to save <num>-<num> % off on the blowout sale , your final chance to save big $fb $twtr",1.0
294,"#stocks to watch this week : goldman sachs group $gs netflix $nflx general electric $ge",1.0
295,"$ms reports before the open tomorrow , estimize consensus +<num>.<num> eps and +<num>.<num>m revs compared to ws",1.0
296,"rt @ibmnews : ibm breaks innovation record in <num> $ibm $ssnlf via @benzinga",1.0
297,"instagram stories already has as many users as snapchat does . $fb",1.0
298,"ibm breaks innovation record in <num> $ibm $ssnlf via @benzinga",1.0
299,"thanks for remembering -- $aapl !",1.0
300,"listen : @taskrabbit ceo @sbp<num> on her vision for the firm , her time at $googl and why diversity matters .",1.0
301,"i 've been waiting months for this finally my bet in $wlkr should spike thx to $pcln founders",1.0
