"","tweets","positive","negative","score"
79,"nutanix named an underappreciated top <num> pick at oppenheimer $csco $hpe $ntnx",1,0,1
80,"i talked to @digiday about our growth over past year and my two cents about relations between media + $fb .",1,0,1
81,"rt @maxpyziur : . @senschumer rips #tillerson running . @statedept becuz ambiguity on $xom #russia #sanctions sez @politico|s @eschor",0,0,1
82,"$nvda $amd the demand for ai is helping nvidia and amd leapfrog intel via @verge",0,0,1
83,"great morning with our new $agn colleagues @biotechfischer & amp ; team working hard to bring new treatments to patients .",0,0,1
84,"$csx earnings could send transports into high gear via @investopedia",0,0,1
85,"facebook tests mid-roll video ads $fb",0,0,1
86,"so far holding like a champ $spy",0,0,1
87,"bought #trumpdumps $celg <num>.<num> ( bought back ) and $lmt <num>.<num> .",0,0,1
88,"what we know about 'the facebook journalism project ' $fb",0,0,1
89,"rt @evanmedeiros : new post : bulls continue to defend nearby support levels $spy $iwm $qqq #stocks #trading",0,1,1
90,"netflix added to stock buy lists ahead of <alphanum> earnings report : $nflx $fb $amzn",1,0,1
91,"analyst : amazon echo is a very big deal $amzn",0,0,1
92,"shares of valeant were slightly higher on wednesday . @valerieayoung weighs in on #fillorkill : .",0,0,1
93,"good news for economy ? the other $djt -- the dow jones transports -- continues its post-election pop . $csx $alk $luv at all-time highs too .",2,0,1
94,". @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb .",1,0,1
95,"rt @mcwm : apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",0,0,1
96,"earnings preview : citigroup <alphanum> <num> $c",0,0,1
97,"big ol $aapl player hittin here",0,0,1
98,"apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",0,0,1
99,"what to expect when you 're expecting big banks ' earnings $bac $cof $gs $jpm $ms $wfc",0,0,1
100,"earnings preview : morgan stanley <alphanum> <num> $ms",0,0,1
101,"another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out",0,0,1
102,"$aapl and fang getting a bid here this afternoon . $fb market cap today more valuable than $xom .",1,0,1
103,"@shawsstandard yup , $aapl moving to a new <num>-year high .",0,0,1
104,"rt @katekelly : another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out",0,0,1
105,"ios will have generated over $<num> trillion in revenues for @apple sometime this year ( incl services ) - @asymco .",0,0,1
106,"$googl nice bull flag type pattern as well . after a nice move last week - in time it could take it out $<num>ish",0,0,1
107,"$amzn nice looking bull flag . rested a few days . not sure how long it takes to take out $<num>.<num> . on the radar",1,1,1
108,"clsa analyst sees bank stocks gaining <num> % over next <num> years $bac $c $gs $wfc $ms $jpm",1,0,1
109,"my favorite part is where @paulvigna and i discuss the merits of buying supercomputers to trade bank stocks high f .",2,0,1
110,"the hype is real . ai & amp ; unsupervised learning for analytics , will drive $nvda and $amd up . full-disc . : shareholder",0,0,1
111,"rt @kchaykowski : . @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb htt .",1,0,1
112,"improvement or gimmick ? starbucks rolls out video drive-thrus across canada $sbux",1,0,1
113,"based off the success of its original content , netflix plans to ramp up production to more than <num>,<num> hours : .",1,0,1
114,"freeport-mcmoran , martin marietta and steel 's strength in the trump rally $fcx $mlm $nue $xlb",1,0,1
115,". @bre_payton says domestic firms should feel confident given the $djia 's performance , trump 's promises to keep jobs .",1,0,1
116,"amazon 's next move to dominate retail ? offering a credit card with <num> % back $amzn",0,0,1
117,"blackberry is quietly trying to make a comeback but not with phones $bbry",0,1,1
118,"$gild told analysts at mtg today they might separate out hcv and/or hiv product guidance for <num> on upcoming earnings call .",0,0,1
119,"rt @aaronlucchetti : amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1,0,1
120,"huge year for #tesla . if they can deliver . it will be huge . #model<num> $tsla",0,0,1
121,"wedbush s @gilluria commented on alibaba s goal to create <num> million us #jobs $baba via @thestreet",0,0,1
122,"just in : facebook launches `` journalism project '' to work with big media ( @washingtonpost , @buzzfeed , etc ) to fight fake news . $fb",0,0,1
123,"will fintech perish or prosper under president trump ? $aapl $amzn $fb #fintechforgood",0,0,1
124,"rt @<num>capital : lg cap all-time high list at <num> stocks with industrials , financials & amp ; healthcare leading . $xlv $xlf $xli",1,0,1
125,"apple is reportedly planning a major push into original tv shows and movies $aapl",0,0,1
126,"apple 's ios revenues should exceed $<num> trillion in <num> $aapl",0,0,1
127,"$spy put a low in at $<num>.<num> . holding that keeps upper range constructive . a close below shakes it up . resistance $<num>.<num> then $<num>.<num>",1,1,1
128,"volume : stocks up , on up volume , down volatility = bullish trend intact @hedgeye $spy",0,1,1
129,"is this stock the next $amzn ? #sponsored",0,0,1
130,"casino stocks outperform in <num> as vegas gaming sales flat $lvs $mgm $wynn $mpel",1,0,1
131,"storage provider $stx 's adaptability leading to increased profits",2,0,1
132,"more & lt ; <num> for $fb cantor 's top <num> picks facebook ( $<num> pt ) , alphabet ( $googl , $<num>,<num> pt ) , amazon ( $amzn , $<num>,<num> pt ) expedia ( $expe , $<num> pt )",1,0,1
133,"$gld right up at my sell target this morning . in the continuation gap .",0,1,1
134,"watch these <num> huge put purchases in thursday trade $bby $gnc $himx $qep $rig $seas $tsm $luv",0,0,1
135,"chasing momentum #stocks $spx",0,0,1
136,"<num>.<num> - <num>.<num> getting a ton of action last week or so $spy , gon na be a major point for those guys that profile",0,0,1
137,"$amzn follow up . quick traders were able to grab more at $<num>.<num> and sell some strength near $<num> . now use $<num>.<num> .",2,1,1
138,"rt @endpts : as trump fingers pharma on drug prices , execs step up with the latest vows of self discipline $jnj $alks $agn",0,0,1
139,". @amazon says it will create <num>,<num> full-time jobs in the u.s. over the next <num> months",0,0,1
140,"how wal-mart contract will boost workday revenue $wday $wmt $bac $fdx $hpq $ibm",1,0,1
141,"apple in talks to bulk up apple music with original video : $aapl $nflx $twx",0,0,1
142,"you guys win , this <num>-<num> % off blowout sale will last through the weekend , final chances to save big $fb $twtr",1,0,1
143,"with <num>,<num> new full-time jobs on the way , @jimcramer says amazon is a jobs machine : $amzn",0,0,1
144,"$gs is proud to host @jcp_org executive committee live meetings in london . learn more about #gsengineering",0,0,1
145,"google has shuttered its drone project to beam internet to rural areas : $googl",0,0,1
146,"rt @foxbusiness : amazon sees rapid job growth , plans <num>k new u.s. jobs $amzn",1,0,1
147,"rt @powerlunch : <num>:<num> @jboorstin on @apple $aapl plans to create original content and what it means for the competitive landscape",0,0,1
148,"gilead s hepatitis b drug vemlidy approved in eu - $gild",0,0,1
149,"in light of taco bell 's chicken shell , here are <num> of the most successful fast-food campaigns $bkw $mcd $wen $yum",1,0,1
150,"rt @optuma : $spx companies with longest <num> day #rrg tails ( momentum ) with increasing velocity . simple to filter with #optuma $fcx $kss $nem .",0,0,1
151,"jack ma wants groupon ? $grpn up <num> % on $baba m & amp ; a rumor . but be careful here . this chatter has been around for almost a year . has n't happened .",0,0,1
152,"$tsla held well now green . $<num>/ <num>day moving average has been big support",0,0,1
153,"ibm breaks record in u.s. patents with cloud , ai and health bets : $ibm",0,1,1
154,"financial spdr $xlf up almost <num> % since election . bank earnings kick off , any room for error after such a big run ? tune in <num>:<num>p et !",0,1,1
155,"salesforce 's new hire , monica langley , might help company land its next major acquisition $crm",0,0,1
156,"thanks . this was a good $amzn strategy to add above $<num>.<num> trim some and hold some . i 'm still long and those calls .",2,0,1
157,"if you bought $spy with up around $<num>.<num> trim some here $<num>.<num> and hold some . i 'm still in",0,0,1
158,"$fb -- what an impressive move <num>. i missed it .",1,1,1
159,"broader market down but two big techs are continuing their hot start to <num> . $amzn up <num>.<num> % today & amp ; <num> % ytd . $fb up a bit today , <num> % ytd .",0,0,1
160,"big bank results ahead with reports from bank of america , jp morgan , and wells fargo $bac $c $gs $jpm $wfc $ms",0,0,1
161,"$bac this remarkable edge to an options trade -- with a twist -- has out performed the $spx by <num> % .",0,0,1
162,"us stock indices in the red with around <num> mins to the close on wall st : #djia -<num>.<num> % with goldman sachs dragging heavily on the index $gs .",0,0,1
163,"live : apple sets its sights on hollywood with plans for original content - will it be a success ? .",1,0,1
164,"say hello to the credit card with a whopping <num> % cash back on all @amazon purchases : $amzn",0,0,1
165,"twitter is announcing earnings and doing call before markets open again this quarter ? hmmmm ... $twtr",0,0,1
166,"$ibm slow but steady in <num> via @investopedia",0,1,1
167,"facebook enhances dynamic ads with interest-based targeting $fb",1,0,1
168,"with the release of its credit card , amazon is poised to transform yet another way consumers shop : .",0,0,1
169,"@waltergmurphy thanks walter , i always value your opinion . steep ascent on $djia puts recent lows in focus .",0,1,1
170,"big day for bank earnings tomorrow $bac , $wfc $jpm all report before the bell . what should you be watching ? coming up on @cnbcclosingbell",0,0,1
171,"getting the <num> party started $uvxy #options",0,0,1
172,"these were the <num> most traded stocks and etfs of <num> <num> . $bac <num> . $spy <num> . $gdx <num> . $eem <num> . $vxx",0,0,1
173,"$spy $spx trading options in the market etf for a profit",1,0,1
174,"$bac using a mega bank as a winning option play",1,0,1
175,"rt @cnbcfastmoney : ' @richartross says to buy banks into earnings $xlf $bac $jpm $wfc",1,0,1
176,"apple finally figured out how to satisfy its media dream : do n't buy hbo , become it",3,0,1
177,"' @richartross says to buy banks into earnings $xlf $bac $jpm $wfc",1,0,1
178,"@davidmoble it is an exception . they have factories filled with robots . and it 's one of the best companies in the world . $tsla",1,0,1
179,"#amazon plans to create <num>k new full-time #jobs in the us over the next <num> months ; ... via @launchticker $amzn",0,0,1
180,"#gold rises above $<num>,<num> ; will it stay there ? $gld $iau $gdx $nugt $dust",0,0,1
181,"`` digital media - sans $goog & amp ; $fb - have joined newspapers as a business in structural decline '' @profgalloway",0,1,1
182,"netflix is on a quest for world domination via @bw $nflx",0,0,1
183,"#gold rush : trump , #china puts the bull into bullion $gld $fxi $mchi $ashr #goldprice",0,0,1
184,"$spy gave us a new pivot at $<num>.<num> and reclaimed $<num>.<num> and closed well . pivot resistance is $<num>.<num> then $<num>.<num> ath $<num>.<num>",0,1,1
185,"good morning . mostly green arrows around the world . in europe dax+.<num> % cac+.<num> % in asia the nikkei+.<num> % hk+.<num> % . $spx futures +<num>",1,0,1
186,"ready for $bac to kick off #wallstreet #earnings . net income primed for a rise . but if the firm does n't achieve , it could be bananas",2,0,1
187,"$ebay to combat #counterfeiting with professional authenticators that inspect high-end goods #ip",0,0,1
188,"the nasdaq is +<num>.<num> % higher than where it was <num>yr ago today $qqq",0,0,1
189,"bank of america tops <num>q profit forecasts $bac",1,0,1
190,"this morning 's winner for $bac is bestguess who beats <num> other analysts and the wall street consensus -",1,0,1
191,"$bac reports inline with the estimize eps consensus and misses the estimize revenue consensus by $<num>.<num>m -",0,1,1
192,"$bac reports <alphanum> earnings of <num>c eps and $<num>.<num>b revs -",0,0,1
193,"amazing changes in how people bank at bank of america . digital +<num> % vs. `` old tech '' -<num> % $bac @disruptorsbnn",0,0,1
194,"amazon is going on a hiring spree $amzn",0,0,1
195,"rt @igtv : $bac lower after announcing plans to boost stock buyback in <num>h by $<num>.<num>b and beating <num>q eps estimates .",1,1,1
196,"keep an eye on these <num> stocks for january <num> , <num> $bac $blk $frc $jpm $p $wfc $pnc",0,0,1
197,"rt @deoneroberts : bank of america s <num>q profit jumps <num> percent $bac #charobs",1,0,1
198,"rt @sarawalker_ig : $bac lower after announcing plans to boost stock buyback in <num>h by $<num>.<num>b and beating <num>q eps estimates .",1,1,1
199,"bank of america beats profit expectations , but revenue growth misses on less robust trading than anticipated . $bac",2,2,1
200,"bank of america s <num>q profit jumps <num> percent $bac #charobs",1,0,1
201,"earnings alert : bank of america eps beats $<num>.<num> vs. $<num>.<num> ( est . ) revs . miss $<num>.<num>b vs. $<num>.<num>b ( est . ) $bac",0,1,1
202,"bank of america <alphanum> eps $<num>.<num> vs $<num>.<num> est , revenue $<num>.<num>b vs $<num>.<num>b est $bac",0,0,1
203,"#breaking : bank of america $bac <alphanum> earnings per share ( eps ) is $<num>.<num> vs. $<num>.<num> expected .",0,0,1
204,"great price action as well $amzn",0,0,1
205,"$bac does n't mention trump in earnings release . but alludes to fed . says well-positioned to grow with `` backdrop of rising interest rates . ''",0,0,1
206,"big achievement for panera bread here $pnra $sbux $cmg $mcd $qsr $$",1,0,1
207,"peek into the markets : stock futures up ahead of jpmorgan , wells fargo earnings $bac $blk $jpm $pnc $p $nflx",0,0,1
208,"it 's earnings season again , here we go : $jpm and $wfc up next bank of america profit up <num> % as trading jumps $bac .",1,0,1
209,"$bac has moved <num>-cents since reporting /newnormal",0,0,1
210,"bank of america beats on the bottom line , misses on the top $bac",1,1,1
211,"rt @reddogt<num> : good morning . mostly green arrows around the world . in europe dax+.<num> % cac+.<num> % in asia the nikkei+.<num> % hk+.<num> % . $spx futures .",1,0,1
212,"rt @reddogt<num> : $spy gave us a new pivot at $<num>.<num> and reclaimed $<num>.<num> and closed well . pivot resistance is $<num>.<num> then $<num>.<num> ath $<num>..",0,1,1
213,"rt @reddogt<num> : great price action as well $amzn",0,0,1
214,"how important is the #banks earnings guidance for <num> ? @garybsmith $bac $jpm $wfc #earningsreport",0,0,1
215,"netflix rises in premarket on upgrade and share-price raised target : $nflx",0,0,1
216,"diverging views on net interest $jpm : <alphanum> net interest income to be `` up modestly qoq '' $bac : `` significant increase '' in net interest income",0,0,1
217,"raymond james upgrades facebook , ad revenue should be strong this year $fb",1,0,1
218,"bank of america profit rises <num> % on trading gains , cost cuts $bac via @business",2,0,1
219,"#amazon to add <num>k new u.s. jobs in the next <num> months $amzn #jobs @amazon @leafoxnews",0,0,1
220,"<num> cheap stocks that top investment newsletters say to buy now $spx",2,1,1
221,"retail sales rise <num>.<num> % as amazon , autos lead $amzn $gm $m",1,0,1
222,"tractor supply upgraded to outperform , wedbush sees good risk-reward $tsco",2,0,1
223,"earnings season takes it to the bank , and facebook gets a `` like '' - today 's stocks to watch : $bac $jpm $wfc $fb",0,0,1
224,"bank of america kicks off bank #earnings with a profit beat $bac",1,0,1
225,"live : bank earnings in focus $bac $jpm $wfc - can financial stocks keep the market rally alive ? .",0,0,1
226,"earnings season is underway ! jpmorgan , wells fargo and bank of america kick things off $bac $jpm $pnc $wfc",0,0,1
227,"bottom line on banks core businesses strong $bac mortgage lending +<num>x $jpm deposit growth +double digits credit card balances at record",2,0,1
228,"they are making so many good shows . been watching #fauda and it 's great . netflix making hits for each language . we ' .",1,0,1
229,"#yahoo , acquired or not , continues its open-source push #hadoop $yhoo",0,1,1
230,"#stocks moderately higher in early trading on wall st after strong earnings from $jpm , $bac , but disappointing results from $wfc . #spx +<num>.<num> %",1,1,1
231,"happy friday the <num>th ! #stocks start higher as earnings season kicks off on a good note . banks higher & amp ; tech led by facebook . $fb $kre $xlf",2,0,1
232,"$gs broke above $<num> and holding to lead",0,1,1
233,"a netflix earnings preview : <alphanum> guidance will be in focus $nflx",0,0,1
234,"wcu : most commodities gain as trump 's star fades #saxostrats by ole hansen $oil $gld $slv",1,0,1
235,"stc $bac jan <num> exp <num> puts at <num>c",0,0,1
236,"the tax mess that #trump is working on for trade might be hugely beneficial for tesla . $tsla made in america #cars",1,1,1
237,"chargers ' l.a. move sees an unexpected winner $ebay #chargerstola",1,1,1
238,"fourth quarter #earningsseason kicks off with financials which have led the market 's recent gains $jpm $bac $wfc $pnc $fhn $frc $blk",1,0,1
239,"with science and info , $ilmn , $nvta , $vcyt , $fm will take the guesswork out of #healthcare , like $goog , $fb , and $twtr did for advertising .",0,0,1
240,"in tech we like $nvda $nflx $tsla $goog $fb $ea $atvi these are higher pe names but it 's because they are the best #stocks in tech .",1,0,1
241,"<num> biggest price target changes for friday $gevo $grub $nflx $rop $snak $pcar $tsco $pnr",0,0,1
242,"apple is the least exciting tech company we have investments in . we own it mostly as a value stock and we have big gains . $aapl hold .",2,0,1
243,"@loomdart apple is disappointing , to think the new #iphone<num>thanniversary will be much better than the amazing #iphone<num>plus is silly $aapl",1,1,1
244,"who 's adding the most to the gains in nasdaq today ? facebook $fb & amp ; it 's <num>.<num> % gain in early trading",2,0,1
245,"rt @amberkanwar : amazing changes in how people bank at bank of america . digital +<num> % vs. `` old tech '' -<num> % $bac @disruptorsbnn",0,0,1
246,"rt @ophirgottlieb : $aapl covered calls with a twist turn a profit .",1,0,1
247,"fedex moves into walgreens stores $fdx $wba",0,0,1
248,"fedex moves into walgreens stores $fdx $wba by @biintelligence",0,0,1
249,"as seen on fb : home shopping network learns to leverage social media $fb $hsni $twtr",0,0,1
250,"that just won you reader comment of the week ! now dance , monkey boy , dance ! $msft cc : @laclippers @steven_ballmer",0,0,1
251,"netflix to remain a growth story through <num> $nflx",1,0,1
252,"<num>-year forecasts #stocks $spx",0,0,1
253,"what the equity expansion of nyse floor could mean for traders $aapl $msft",0,0,1
254,"$googl is up <num> % so far this year . and that makes it the laggard of the fang of four . $fb up <num> % . $amzn up <num>.<num> % . $nflx up <num> % .",0,0,1
255,"netflix streams back into buy zone on an upgrade & amp ; price target hike . $nflx $mbly $dal",1,0,1
256,"$aapl the radical importance of apple services",0,0,1
257,"what questions should you ask at the end of an interview ? taylor , head of imd recruiting at $gs , shares her advice : .",0,1,1
258,"netflix retakes buy point ; analysts like comcast , delta , mobileye : $nflx $cmcsa $mbly $dal",1,0,1
259,"rt @mclamagna : if you needed one more way ( or reason ) to buy stuff on amazon , here it is : $amzn",1,0,1
260,"if you needed one more way ( or reason ) to buy stuff on amazon , here it is : $amzn",1,0,1
261,"good one . that 's better than $amzn and $googl over same period . but not $fb and $nflx .",2,1,1
262,"$amzn worth just $<num> billion more than $fb according to google finance . notable race for fourth .",0,0,1
263,"obvious conclusion here is that `` fake news '' is good for the $spy : ) $goog trends `` fake news '' <num> days vs spy",1,0,1
264,"patience about to pay off for buffett on his ibm investment $ibm",0,0,1
265,"tech today : pandora zooms , grubhub up , apple s debt leverage $p $fb $grub $ibm $aapl $nflx $splk .",0,0,1
266,"$bac if you understand this -- then you win trading options .",1,0,1
267,"rt @barronsnext : amazon 's big jobs announcement seems `` yugely '' political . $amzn",0,0,1
268,"unbelievable dominance by $fb",0,0,1
269,"why @tonythestreet is watching netflix on #fillorkill : $nflx",0,0,1
270,"$nflx comin back into the mix , wiseguys rollin in , on the precipice of all time highs .",1,0,1
271,"apple has n't left innovation behind . could self-driving cars be in its future ? $aapl",1,0,1
272,"another record day for $comp and $ndx . big cap historic highs : $cmcsa $lrcx $csx $adp small - mid cap record highs .",2,0,1
273,"#netflix is spending more on domestic content this year than all the networks except abc , #sports excluded . $nflx",0,0,1
274,"here 's how veteran swing trader sees the stock market right now . sit back watch this video : $spy $qqq $xlf",0,0,1
275,"google claims the hottest programming language of <num> $googl",0,1,1
276,"apple 's stock has more than doubled since tim cook became ceo , but can he hold a candle to steve jobs ? .",0,0,1
277,"do n't bet against this guy . it 's rocket science . take off . land . orbit . release . great job @elonmusk #spacex $tsla",0,1,1
278,"with average upside surprises , earnings growth for $spx for <alphanum> could hit <num> % .",2,0,1
279,"`` barnes & amp ; noble crushes amazon in speedy delivery . '' great read from '<num> . what $amzn has done only seems easy/inev .",0,0,1
280,"facebook will test 'fake news ' filtering in germany - $fb",0,0,1
281,"rt @factset : with average upside surprises , earnings growth for $spx for <alphanum> could hit <num> % .",2,0,1
282,"$nflx how trading options on netflix earnings become a giant winner",1,0,1
283,"final final <num> hours to save <num>-<num> % off blowout sale at your absolute final chances to save big $fb $twtr",0,0,1
284,"cot : funds return to precious metals #saxostrats by ole hansen $oil $gld $slv",0,0,1
285,"join us tues am ! we are live from #davos<num> with a great show : ceos of $bac , $mar , $t , sap , $hon , $ebay , ey , $crm..",0,0,1
286,"together , could etsy and ebay take on amazon ? $amzn $etsy $ebay",0,0,1
287,"how top-yielding #dogsofthedow could buffer trumpian volatility #options $vz $csco $ibm via .",0,1,1
288,"the forward <num>-month p/e ratio for $spx is <num>.<num> , above the <num>-year average ( <num>.<num> ) .",0,0,1
289,"netflix easily outspends amazon prime and hulu . now , it 's rivaling the major networks . $nflx $amzn",1,0,1
290,"buying raw materials no brainer . iron copper etc good for war or construction . $fcx only thing left in family account .",2,1,1
