,id,tweets,givenpositive,givennegative,actual,positive,negative,if_contains,changed_tweets
15,15,$baba- nice move . sold mine today . it broke the downtrend at $<num>.<num>,0,2,1,0,2,0,$baba- nice move . sold mine today . it broke the downtrend at $<num>.<num>
16,16,rt @kristenscholer : . @purewow ceo @ryanharwood<num> says he and @garyvee have already discussed how to capitalize on $fb 's new mid-roll ads . #,0,0,1,0,0,0,rt @kristenscholer : . @purewow ceo @ryanharwood<num> says he and @garyvee have already discussed how to capitalize on $fb 's new mid-roll ads . #
17,17,rt @yahoofinance : live now : mid-roll video ads are coming to facebook - watch $fb,0,0,1,0,0,0,rt @yahoofinance : live now : mid-roll video ads are coming to facebook - watch $fb
18,18,did the head of chinese e-tailer jd meet with trump too ? #sarcasm but $jd up <num>.<num> % today . $baba continuing to rally as well .,0,0,1,0,0,0,did the head of chinese e-tailer jd meet with trump too ? #sarcasm but $jd up <num>.<num> % today . $baba continuing to rally as well .
19,19,video : $gs economist zach pandl on rising wages and why the us is nearing full employment .,0,0,1,0,0,0,video : $gs economist zach pandl on rising wages and why the us is nearing full employment .
20,20,internet stocks in <num> : look for platform leaders $amzn $fb $goog $sfly $shop $yelp,0,0,1,0,0,0,internet stocks in <num> : look for platform leaders $amzn $fb $goog $sfly $shop $yelp
21,21,alibaba continues rally following jack ma 's meeting with trump $baba,0,0,1,0,0,0,alibaba continues rally following jack ma 's meeting with trump $baba
22,22,fitbit acquires assets of watch company vector watch . $fit,0,0,1,0,0,0,fitbit acquires assets of watch company vector watch . $fit
23,23,now $spy is a dollar higher as the .<num> risk when it reclaimed $<num>.<num> was worth it . trim and trail . that was a nice,0,1,1,0,1,0,now $spy is a dollar higher as the .<num> risk when it reclaimed $<num>.<num> was worth it . trim and trail . that was a nice
24,24,$ubs took $gs <num> & amp ; <num> eps to $<num>.<num> & amp ; $<num>.<num> from $<num>.<num> & amp ; $<num>.<num> . said gs could gain share as the ficc revenue environment improves,2,0,1,2,0,0,$ubs took $gs <num> & amp ; <num> eps to $<num>.<num> & amp ; $<num>.<num> from $<num>.<num> & amp ; $<num>.<num> . said gs could gain share as the ficc revenue environment improves
25,25,live : facebook to test mid-roll video ads - @readdanwrite explains $fb,0,0,1,0,0,0,live : facebook to test mid-roll video ads - @readdanwrite explains $fb
26,26,minutes away : $vrx @valeant ceo joins @megtirrell live from #jpm<num> on @powerlunch - another @cnbc exclusive,1,0,1,1,0,0,minutes away : $vrx @valeant ceo joins @megtirrell live from #jpm<num> on @powerlunch - another @cnbc exclusive
27,27,looking forward to joining @megtirrell on @halftimereport with @scottwapnercnbc soon on @cnbc $agn #jpm<num>,0,0,1,0,0,0,looking forward to joining @megtirrell on @halftimereport with @scottwapnercnbc soon on @cnbc $agn #jpm<num>
28,28,"ad buyer survey triggers facebook , alphabet target increases $crto $fb $goog",0,0,1,0,0,0,"ad buyer survey triggers facebook , alphabet target increases $crto $fb $goog"
29,29,lots of key macro flow lining up in past weeks concentrated in march/april/may area . $gld $slv $uso $tlt $spy $vxx . shakeouts commeth .,0,0,1,0,0,0,lots of key macro flow lining up in past weeks concentrated in march/april/may area . $gld $slv $uso $tlt $spy $vxx . shakeouts commeth .
30,30,why alibaba is the only china internet stock bernstein is bullish on via @barronsasia $baba #tencent $bidu $ctrp,0,0,1,0,0,0,why alibaba is the only china internet stock bernstein is bullish on via @barronsasia $baba #tencent $bidu $ctrp
31,31,"$iwm upper support area is $<num>.<num> . as long as this holds , this sector is `` actively constructive '' .",2,0,1,2,0,0,"$iwm upper support area is $<num>.<num> . as long as this holds , this sector is `` actively constructive '' ."
32,32,$spy has upper support at $<num>ish . a hard close below gets some active traders to reduce risk . next is $<num>.<num> . resistance is $<num>.<num>,0,1,1,0,1,0,$spy has upper support at $<num>ish . a hard close below gets some active traders to reduce risk . next is $<num>.<num> . resistance is $<num>.<num>
33,33,"amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1,0,1,1,0,0,"amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm"
34,34,tim arcuri looks at monthly sales reports from taiwan . data show $aapl supply chain advanced <num> % q/q in <alphanum>,0,0,1,0,0,0,tim arcuri looks at monthly sales reports from taiwan . data show $aapl supply chain advanced <num> % q/q in <alphanum>
35,35,"if you are in this field , contact me to see how we can help you on a daily basis . #ipo $aapl $fb $twtr $baba $jpm",0,0,1,0,0,0,"if you are in this field , contact me to see how we can help you on a daily basis . #ipo $aapl $fb $twtr $baba $jpm"
36,36,rt @thestreet : did you miss last night 's mad money ? check out @jimcramer 's top takeaways : $nvda $txn $adi,1,1,1,1,1,0,rt @thestreet : did you miss last night 's mad money ? check out @jimcramer 's top takeaways : $nvda $txn $adi
37,37,google 's pixel storms the smartphone market $googl $goog $aapl the latest from @rosstucker,0,0,1,0,0,0,google 's pixel storms the smartphone market $googl $goog $aapl the latest from @rosstucker
38,38,another airline with better unit rev numbers : $aal joins $ual with gains premarket,2,0,1,2,0,0,another airline with better unit rev numbers : $aal joins $ual with gains premarket
39,39,"gm , gilead , barracuda and freeport-mcmoran : @cnbcfastmoney picks for january <num> $cuda $fcx $gild $gm",0,0,1,0,0,0,"gm , gilead , barracuda and freeport-mcmoran : @cnbcfastmoney picks for january <num> $cuda $fcx $gild $gm"
40,40,facebook 's plan to insert mid-roll ads into native videos is very big news for content publishers :,0,0,1,0,0,0,facebook 's plan to insert mid-roll ads into native videos is very big news for content publishers :
41,41,facebook 's new plan for video ads is huge for publishers $fb $googl,0,0,1,0,0,0,facebook 's new plan for video ads is huge for publishers $fb $googl
42,42,@hedgeye <num> ) the u.s. economy is growing : sell long-term bonds & amp ; gold - $tlt $gld,0,1,1,0,1,0,@hedgeye <num> ) the u.s. economy is growing : sell long-term bonds & amp ; gold - $tlt $gld
43,43,. @mcdonalds new breakfast menu in #india is wonderfully weird : $mcd via @iyengarish,0,0,1,0,0,0,. @mcdonalds new breakfast menu in #india is wonderfully weird : $mcd via @iyengarish
44,44,natural gas stocks take off despite calls for warmer weather $dgaz $ugaz,1,0,1,1,0,0,natural gas stocks take off despite calls for warmer weather $dgaz $ugaz
45,45,such ... a ... big ... bank ... account $xom,0,0,1,0,0,0,such ... a ... big ... bank ... account $xom
46,46,facebook 's new plan for video ads is huge for publishers - $fb,0,0,1,0,0,0,facebook 's new plan for video ads is huge for publishers - $fb
47,47,walgreens-rite aid merger ok seen before trump takes office $wba $rad $fred $kr $fdx,0,0,1,0,0,0,walgreens-rite aid merger ok seen before trump takes office $wba $rad $fred $kr $fdx
48,48,#wallstreet <num>q trading seen best since '<num> . but what does it mean vs. weak comps ? cc @hugh_son f.maranz $jpm $bac,1,1,1,1,1,0,#wallstreet <num>q trading seen best since '<num> . but what does it mean vs. weak comps ? cc @hugh_son f.maranz $jpm $bac
49,49,breaking : ibd/tipp economic optimism index hits new <num>-year high as trump rally continues,0,1,1,0,1,0,breaking : ibd/tipp economic optimism index hits new <num>-year high as trump rally continues
50,50,"#googlepixel accounted for <num>.<num> % of sales for <num> months ending in nov. , but only started selling oct <num> .",0,1,1,0,1,0,"#googlepixel accounted for <num>.<num> % of sales for <num> months ending in nov. , but only started selling oct <num> ."
51,51,will $xom stock rise with tillerson as #secretaryofstate ?,1,0,1,1,0,0,will $xom stock rise with tillerson as #secretaryofstate ?
52,52,"#elainechao 's testimony on autonomous cars , drones should please $gm $f $fca , $tsla $dlph , $mbly $amzn and many others",0,0,1,0,0,0,"#elainechao 's testimony on autonomous cars , drones should please $gm $f $fca , $tsla $dlph , $mbly $amzn and many others"
53,53,learn why $gs ' investment strategy group still views the glass as half-full when it comes to the us #economy,0,0,1,0,0,0,learn why $gs ' investment strategy group still views the glass as half-full when it comes to the us #economy
54,54,rt @kchaykowski : . @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb,0,0,1,0,0,0,rt @kchaykowski : . @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb
55,55,jefferies names winners for its <num> internet themes $amzn $atvi $crto $fb $goog $znga $nflx $pcln $expe,1,0,1,1,0,0,jefferies names winners for its <num> internet themes $amzn $atvi $crto $fb $goog $znga $nflx $pcln $expe
56,56,. @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb,0,0,1,0,0,0,. @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb
57,57,$spy $spx an option strategy in s & amp ; p <num> that crushed the market,0,1,1,0,1,0,$spy $spx an option strategy in s & amp ; p <num> that crushed the market
58,58,"@mikeisaac a <num> for $fb and it has happened rather quickly . in a year , you will get a recruiting call . this is part of the future .",0,0,1,0,0,0,"@mikeisaac a <num> for $fb and it has happened rather quickly . in a year , you will get a recruiting call . this is part of the future ."
59,59,rt @wallstjesus : early bull sweepers & gt ; & gt ; $crm $fslr $fcx $ccj $vrtx $a $bcrx $cop $atvi,0,0,1,0,0,0,rt @wallstjesus : early bull sweepers & gt ; & gt ; $crm $fslr $fcx $ccj $vrtx $a $bcrx $cop $atvi
60,60,"eli lilly , merck add new combo alliance ; gilead really does want to focus on m & amp ; a $lly $mrk $gild",1,0,1,1,0,0,"eli lilly , merck add new combo alliance ; gilead really does want to focus on m & amp ; a $lly $mrk $gild"
61,61,credit suisse notes yelp 's salesforce growth into first-half results $yelp,1,0,1,1,0,0,credit suisse notes yelp 's salesforce growth into first-half results $yelp
62,62,"nope , but a good day for $xom",1,0,1,1,0,0,"nope , but a good day for $xom"
63,63,are $baba shares up now ? #trumppressconference,0,0,1,0,0,0,are $baba shares up now ? #trumppressconference
64,64,mcdonald s unveils the mother of all localisation : the masala dosa burger $mcd,0,0,1,0,0,0,mcdonald s unveils the mother of all localisation : the masala dosa burger $mcd
65,65,"rt @bespokeinvest : netflix $nflx tops the list of winners over the last <num> years with a gain of <num>,<num> % . $amzn ranks <num>th at <num>,<num> % :",2,0,1,2,0,0,"rt @bespokeinvest : netflix $nflx tops the list of winners over the last <num> years with a gain of <num>,<num> % . $amzn ranks <num>th at <num>,<num> % :"
66,66,american airline shares were up <num>.<num> % on news it could become the first airline to report positive unit revenue :,1,0,1,1,0,0,american airline shares were up <num>.<num> % on news it could become the first airline to report positive unit revenue :
67,67,@stormwolf<num> thank you for the vote of confidence . its always open for you to buy more $vrx .,1,0,1,1,0,0,@stormwolf<num> thank you for the vote of confidence . its always open for you to buy more $vrx .
68,68,wonder how bill feels about trump now ? $vrx,0,0,1,0,0,0,wonder how bill feels about trump now ? $vrx
69,69,i 'll see how $amzn reacts around $<num>- $<num> to buy back . $tsla closer to $<num>- $<num> to do the same,1,0,1,1,0,0,i 'll see how $amzn reacts around $<num>- $<num> to buy back . $tsla closer to $<num>- $<num> to do the same
70,70,trimmed most longs and vtf saw me get flattish as $spy took out $<num> . also well before that,1,0,1,1,0,0,trimmed most longs and vtf saw me get flattish as $spy took out $<num> . also well before that
71,71,some stocks to watch to get you through hump day : $mrk $amzn $sig $adm $f,0,0,1,0,0,0,some stocks to watch to get you through hump day : $mrk $amzn $sig $adm $f
72,72,$spy reclaimed $<num> with a new point of reference at $<num>.<num> . this upper range expanded a bit and got a `` wider '' .,0,0,1,0,0,0,$spy reclaimed $<num> with a new point of reference at $<num>.<num> . this upper range expanded a bit and got a `` wider '' .
73,73,"true , last time big was ey , audited his bankrupt casino unsuccessfully . but many of his $gs appointees comfortable",0,2,1,0,2,0,"true , last time big was ey , audited his bankrupt casino unsuccessfully . but many of his $gs appointees comfortable"
74,74,. @tcharnota sears was the first amazon . did n't build a store until <num>. biggest merchant in america thru catalogs,0,0,1,0,0,0,. @tcharnota sears was the first amazon . did n't build a store until <num>. biggest merchant in america thru catalogs
75,75,mcdonald 's is bringing local fare to its breakfast menu in mumbai : $mcd,0,0,1,0,0,0,mcdonald 's is bringing local fare to its breakfast menu in mumbai : $mcd
76,76,$aapl how apple services could change everything my take via @yahoofinance @cnnmoney,0,0,1,0,0,0,$aapl how apple services could change everything my take via @yahoofinance @cnnmoney
77,77,rt @melissaleecnbc : another airline with better unit rev numbers : $aal joins $ual with gains premarket,2,0,1,2,0,0,rt @melissaleecnbc : another airline with better unit rev numbers : $aal joins $ual with gains premarket
78,78,jack ma 's promised <num> million u.s. jobs would represent 'almost <num> % of all jobs in the u.s . ',0,0,1,0,0,0,jack ma 's promised <num> million u.s. jobs would represent 'almost <num> % of all jobs in the u.s . '
79,79,nutanix named an underappreciated top <num> pick at oppenheimer $csco $hpe $ntnx,1,0,1,1,0,0,nutanix named an underappreciated top <num> pick at oppenheimer $csco $hpe $ntnx
80,80,i talked to @digiday about our growth over past year and my two cents about relations between media + $fb .,1,0,1,1,0,0,i talked to @digiday about our growth over past year and my two cents about relations between media + $fb .
81,81,rt @maxpyziur : . @senschumer rips #tillerson running . @statedept becuz ambiguity on $xom #russia #sanctions sez @politico|s @eschor,0,0,1,0,0,0,rt @maxpyziur : . @senschumer rips #tillerson running . @statedept becuz ambiguity on $xom #russia #sanctions sez @politico|s @eschor
82,82,$nvda $amd the demand for ai is helping nvidia and amd leapfrog intel via @verge,0,0,1,0,0,0,$nvda $amd the demand for ai is helping nvidia and amd leapfrog intel via @verge
83,83,great morning with our new $agn colleagues @biotechfischer & amp ; team working hard to bring new treatments to patients .,0,0,1,0,0,0,great morning with our new $agn colleagues @biotechfischer & amp ; team working hard to bring new treatments to patients .
84,84,$csx earnings could send transports into high gear via @investopedia,0,0,1,0,0,0,$csx earnings could send transports into high gear via @investopedia
85,85,facebook tests mid-roll video ads $fb,0,0,1,0,0,0,facebook tests mid-roll video ads $fb
86,86,so far holding like a champ $spy,0,0,1,0,0,0,so far holding like a champ $spy
87,87,bought #trumpdumps $celg <num>.<num> ( bought back ) and $lmt <num>.<num> .,0,0,1,0,0,0,bought #trumpdumps $celg <num>.<num> ( bought back ) and $lmt <num>.<num> .
88,88,what we know about 'the facebook journalism project ' $fb,0,0,1,0,0,0,what we know about 'the facebook journalism project ' $fb
89,89,rt @evanmedeiros : new post : bulls continue to defend nearby support levels $spy $iwm $qqq #stocks #trading,0,1,1,0,1,0,rt @evanmedeiros : new post : bulls continue to defend nearby support levels $spy $iwm $qqq #stocks #trading
90,90,netflix added to stock buy lists ahead of <alphanum> earnings report : $nflx $fb $amzn,1,0,1,1,0,0,netflix added to stock buy lists ahead of <alphanum> earnings report : $nflx $fb $amzn
91,91,analyst : amazon echo is a very big deal $amzn,0,0,1,0,0,0,analyst : amazon echo is a very big deal $amzn
92,92,shares of valeant were slightly higher on wednesday . @valerieayoung weighs in on #fillorkill : .,0,0,1,0,0,0,shares of valeant were slightly higher on wednesday . @valerieayoung weighs in on #fillorkill : .
93,93,good news for economy ? the other $djt -- the dow jones transports -- continues its post-election pop . $csx $alk $luv at all-time highs too .,2,0,1,2,0,0,good news for economy ? the other $djt -- the dow jones transports -- continues its post-election pop . $csx $alk $luv at all-time highs too .
94,94,. @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb .,1,0,1,1,0,0,. @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb .
95,95,"rt @mcwm : apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",0,0,1,0,0,0,"rt @mcwm : apple s airpods are apparently already a massive hit , according to @sliceintel $aapl"
96,96,earnings preview : citigroup <alphanum> <num> $c,0,0,1,0,0,0,earnings preview : citigroup <alphanum> <num> $c
97,97,big ol $aapl player hittin here,0,0,1,0,0,0,big ol $aapl player hittin here
98,98,"apple s airpods are apparently already a massive hit , according to @sliceintel $aapl",0,0,1,0,0,0,"apple s airpods are apparently already a massive hit , according to @sliceintel $aapl"
99,99,what to expect when you 're expecting big banks ' earnings $bac $cof $gs $jpm $ms $wfc,0,0,1,0,0,0,what to expect when you 're expecting big banks ' earnings $bac $cof $gs $jpm $ms $wfc
100,100,earnings preview : morgan stanley <alphanum> <num> $ms,0,0,1,0,0,0,earnings preview : morgan stanley <alphanum> <num> $ms
101,101,another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out,0,0,1,0,0,0,another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out
102,102,$aapl and fang getting a bid here this afternoon . $fb market cap today more valuable than $xom .,1,0,1,1,0,0,$aapl and fang getting a bid here this afternoon . $fb market cap today more valuable than $xom .
103,103,"@shawsstandard yup , $aapl moving to a new <num>-year high .",0,0,1,0,0,0,"@shawsstandard yup , $aapl moving to a new <num>-year high ."
104,104,rt @katekelly : another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out,0,0,1,0,0,0,rt @katekelly : another $gs partner heads to washington ( and my first byline in the @nytimes ) . fun work w @maggienyt . check it out
105,105,ios will have generated over $<num> trillion in revenues for @apple sometime this year ( incl services ) - @asymco .,0,0,1,0,0,0,ios will have generated over $<num> trillion in revenues for @apple sometime this year ( incl services ) - @asymco .
106,106,$googl nice bull flag type pattern as well . after a nice move last week - in time it could take it out $<num>ish,0,0,1,0,0,0,$googl nice bull flag type pattern as well . after a nice move last week - in time it could take it out $<num>ish
107,107,$amzn nice looking bull flag . rested a few days . not sure how long it takes to take out $<num>.<num> . on the radar,1,1,1,1,1,0,$amzn nice looking bull flag . rested a few days . not sure how long it takes to take out $<num>.<num> . on the radar
108,108,clsa analyst sees bank stocks gaining <num> % over next <num> years $bac $c $gs $wfc $ms $jpm,1,0,1,1,0,0,clsa analyst sees bank stocks gaining <num> % over next <num> years $bac $c $gs $wfc $ms $jpm
109,109,my favorite part is where @paulvigna and i discuss the merits of buying supercomputers to trade bank stocks high f .,2,0,1,2,0,0,my favorite part is where @paulvigna and i discuss the merits of buying supercomputers to trade bank stocks high f .
110,110,"the hype is real . ai & amp ; unsupervised learning for analytics , will drive $nvda and $amd up . full-disc . : shareholder",0,0,1,0,0,0,"the hype is real . ai & amp ; unsupervised learning for analytics , will drive $nvda and $amd up . full-disc . : shareholder"
111,111,rt @kchaykowski : . @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb htt .,1,0,1,1,0,0,rt @kchaykowski : . @facebook unveils `` journalism project '' to strengthen media ties and promote news literacy $fb htt .
112,112,improvement or gimmick ? starbucks rolls out video drive-thrus across canada $sbux,1,0,1,1,0,0,improvement or gimmick ? starbucks rolls out video drive-thrus across canada $sbux
113,113,"based off the success of its original content , netflix plans to ramp up production to more than <num>,<num> hours : .",1,0,1,1,0,0,"based off the success of its original content , netflix plans to ramp up production to more than <num>,<num> hours : ."
114,114,"freeport-mcmoran , martin marietta and steel 's strength in the trump rally $fcx $mlm $nue $xlb",1,0,1,1,0,0,"freeport-mcmoran , martin marietta and steel 's strength in the trump rally $fcx $mlm $nue $xlb"
115,115,". @bre_payton says domestic firms should feel confident given the $djia 's performance , trump 's promises to keep jobs .",1,0,1,1,0,0,". @bre_payton says domestic firms should feel confident given the $djia 's performance , trump 's promises to keep jobs ."
116,116,amazon 's next move to dominate retail ? offering a credit card with <num> % back $amzn,0,0,1,0,0,0,amazon 's next move to dominate retail ? offering a credit card with <num> % back $amzn
117,117,blackberry is quietly trying to make a comeback but not with phones $bbry,0,1,1,0,1,0,blackberry is quietly trying to make a comeback but not with phones $bbry
118,118,$gild told analysts at mtg today they might separate out hcv and/or hiv product guidance for <num> on upcoming earnings call .,0,0,1,0,0,0,$gild told analysts at mtg today they might separate out hcv and/or hiv product guidance for <num> on upcoming earnings call .
119,119,"rt @aaronlucchetti : amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1,0,1,1,0,0,"rt @aaronlucchetti : amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm"
120,120,huge year for #tesla . if they can deliver . it will be huge . #model<num> $tsla,0,0,1,0,0,0,huge year for #tesla . if they can deliver . it will be huge . #model<num> $tsla
121,121,wedbush s @gilluria commented on alibaba s goal to create <num> million us #jobs $baba via @thestreet,0,0,1,0,0,0,wedbush s @gilluria commented on alibaba s goal to create <num> million us #jobs $baba via @thestreet
122,122,"just in : facebook launches `` journalism project '' to work with big media ( @washingtonpost , @buzzfeed , etc ) to fight fake news . $fb",0,0,1,0,0,0,"just in : facebook launches `` journalism project '' to work with big media ( @washingtonpost , @buzzfeed , etc ) to fight fake news . $fb"
123,123,will fintech perish or prosper under president trump ? $aapl $amzn $fb #fintechforgood,0,0,1,0,0,0,will fintech perish or prosper under president trump ? $aapl $amzn $fb #fintechforgood
124,124,"rt @<num>capital : lg cap all-time high list at <num> stocks with industrials , financials & amp ; healthcare leading . $xlv $xlf $xli",1,0,1,1,0,0,"rt @<num>capital : lg cap all-time high list at <num> stocks with industrials , financials & amp ; healthcare leading . $xlv $xlf $xli"
125,125,apple is reportedly planning a major push into original tv shows and movies $aapl,0,0,1,0,0,0,apple is reportedly planning a major push into original tv shows and movies $aapl
126,126,apple 's ios revenues should exceed $<num> trillion in <num> $aapl,0,0,1,0,0,0,apple 's ios revenues should exceed $<num> trillion in <num> $aapl
127,127,$spy put a low in at $<num>.<num> . holding that keeps upper range constructive . a close below shakes it up . resistance $<num>.<num> then $<num>.<num>,1,1,1,1,1,0,$spy put a low in at $<num>.<num> . holding that keeps upper range constructive . a close below shakes it up . resistance $<num>.<num> then $<num>.<num>
128,128,"volume : stocks up , on up volume , down volatility = bullish trend intact @hedgeye $spy",0,1,1,0,1,0,"volume : stocks up , on up volume , down volatility = bullish trend intact @hedgeye $spy"
129,129,is this stock the next $amzn ? #sponsored,0,0,1,0,0,0,is this stock the next $amzn ? #sponsored
130,130,casino stocks outperform in <num> as vegas gaming sales flat $lvs $mgm $wynn $mpel,1,0,1,1,0,0,casino stocks outperform in <num> as vegas gaming sales flat $lvs $mgm $wynn $mpel
131,131,storage provider $stx 's adaptability leading to increased profits,2,0,1,2,0,0,storage provider $stx 's adaptability leading to increased profits
132,132,"more & lt ; <num> for $fb cantor 's top <num> picks facebook ( $<num> pt ) , alphabet ( $googl , $<num>,<num> pt ) , amazon ( $amzn , $<num>,<num> pt ) expedia ( $expe , $<num> pt )",1,0,1,1,0,0,"more & lt ; <num> for $fb cantor 's top <num> picks facebook ( $<num> pt ) , alphabet ( $googl , $<num>,<num> pt ) , amazon ( $amzn , $<num>,<num> pt ) expedia ( $expe , $<num> pt )"
133,133,$gld right up at my sell target this morning . in the continuation gap .,0,1,1,0,1,0,$gld right up at my sell target this morning . in the continuation gap .
134,134,watch these <num> huge put purchases in thursday trade $bby $gnc $himx $qep $rig $seas $tsm $luv,0,0,1,0,0,0,watch these <num> huge put purchases in thursday trade $bby $gnc $himx $qep $rig $seas $tsm $luv
135,135,chasing momentum #stocks $spx,0,0,1,0,0,0,chasing momentum #stocks $spx
136,136,"<num>.<num> - <num>.<num> getting a ton of action last week or so $spy , gon na be a major point for those guys that profile",0,0,1,0,0,0,"<num>.<num> - <num>.<num> getting a ton of action last week or so $spy , gon na be a major point for those guys that profile"
137,137,$amzn follow up . quick traders were able to grab more at $<num>.<num> and sell some strength near $<num> . now use $<num>.<num> .,2,1,1,2,1,0,$amzn follow up . quick traders were able to grab more at $<num>.<num> and sell some strength near $<num> . now use $<num>.<num> .
138,138,"rt @endpts : as trump fingers pharma on drug prices , execs step up with the latest vows of self discipline $jnj $alks $agn",0,0,1,0,0,0,"rt @endpts : as trump fingers pharma on drug prices , execs step up with the latest vows of self discipline $jnj $alks $agn"
139,139,". @amazon says it will create <num>,<num> full-time jobs in the u.s. over the next <num> months",0,0,1,0,0,0,". @amazon says it will create <num>,<num> full-time jobs in the u.s. over the next <num> months"
140,140,how wal-mart contract will boost workday revenue $wday $wmt $bac $fdx $hpq $ibm,1,0,1,1,0,0,how wal-mart contract will boost workday revenue $wday $wmt $bac $fdx $hpq $ibm
141,141,apple in talks to bulk up apple music with original video : $aapl $nflx $twx,0,0,1,0,0,0,apple in talks to bulk up apple music with original video : $aapl $nflx $twx
142,142,"you guys win , this <num>-<num> % off blowout sale will last through the weekend , final chances to save big $fb $twtr",1,0,1,1,0,0,"you guys win , this <num>-<num> % off blowout sale will last through the weekend , final chances to save big $fb $twtr"
143,143,"with <num>,<num> new full-time jobs on the way , @jimcramer says amazon is a jobs machine : $amzn",0,0,1,0,0,0,"with <num>,<num> new full-time jobs on the way , @jimcramer says amazon is a jobs machine : $amzn"
144,144,$gs is proud to host @jcp_org executive committee live meetings in london . learn more about #gsengineering,0,0,1,0,0,0,$gs is proud to host @jcp_org executive committee live meetings in london . learn more about #gsengineering
145,145,google has shuttered its drone project to beam internet to rural areas : $googl,0,0,1,0,0,0,google has shuttered its drone project to beam internet to rural areas : $googl
146,146,"rt @foxbusiness : amazon sees rapid job growth , plans <num>k new u.s. jobs $amzn",1,0,1,1,0,0,"rt @foxbusiness : amazon sees rapid job growth , plans <num>k new u.s. jobs $amzn"
147,147,rt @powerlunch : <num>:<num> @jboorstin on @apple $aapl plans to create original content and what it means for the competitive landscape,0,0,1,0,0,0,rt @powerlunch : <num>:<num> @jboorstin on @apple $aapl plans to create original content and what it means for the competitive landscape
